"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"618","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"618","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","Course Total","","9","3.333","33.3","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"639
Topics-Geotechnical Engr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Engr Appl-Land&Geog Inf Sys","001","","16","3.344","31.3","12.5","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"659
Topic-Survey & Photogramtry","001","","16","2.759",".","12.5","75.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"679
Topic-Transprtatn&City Plan","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","002","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","003","","32","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","004","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","005","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","Course Total","","90","3.854","63.3","10.0","6.7",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"739
Spec Topcs-Geotechncal Engr","001","","6","3.857","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"790","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","56","",".",".",".",".",".",".",".","78.6",".",".",".","21.4",".",".",".","."
"810
Problems in Oceanography","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
