"EGR","","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2293","3.122","28.2","19.9","18.7","11.6","9.4","1.7","1.6","5.4","",".",".","",".","2.7","0.3","0.3",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","38","3.317","39.5","21.1","15.8","15.8","2.6","2.6",".",".","",".",".","",".",".",".","2.6",".","."
"Sophomore","","241","3.047","27.4","24.1","19.1","13.7","12.0","1.7","2.1",".","",".",".","",".",".",".",".",".","."
"Junior","","520","3.020","24.8","19.2","26.3","12.7","11.5","2.1","2.1","0.6","",".",".","",".",".",".","0.6",".","."
"Senior","","949","2.993","23.9","20.5","21.2","16.1","13.0","2.4","2.1","0.3","",".",".","",".",".",".","0.2",".","0.2"
"Undergraduates","","1748","3.014","25.0","20.7","22.3","14.8","12.2","2.2","2.1","0.3","",".",".","",".",".",".","0.3",".","0.1"
"Special","","33","3.519","39.4","21.2","12.1","3.0","6.1",".",".",".","",".",".","",".","3.0","15.2",".",".","."
"Graduate","","513","3.667","38.6","17.3","6.8","1.6","0.2",".","0.2","23.0","",".",".","",".","11.9","0.4",".",".","."
"","Dept. Total","2294","3.122","28.2","19.9","18.7","11.6","9.4","1.7","1.6","5.4","",".",".","",".","2.7","0.3","0.3",".","0.1"
