"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","269","2.970","14.9","23.4","24.5","19.0","16.7","1.1","0.4",".",".",".",".",".",".",".",".","."
"","103
002","221","2.928","16.7","16.7","29.9","15.8","17.6","2.7","0.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","490","2.951","15.7","20.4","26.9","17.6","17.1","1.8","0.4",".",".",".",".",".",".",".",".","."
"General Physics","001
104","221","3.081","17.2","24.0","32.6","15.8","7.7","2.7",".",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","172","3.202","25.6","14.0","44.8","7.6","7.0",".","0.6",".",".",".",".",".",".","0.6",".","."
"","109
001","100","3.205","26.0","23.0","26.0","20.0","4.0",".","1.0",".",".",".",".",".",".",".",".","."
"","109
002","83","3.139","21.7","27.7","21.7","24.1","1.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","183","3.175","24.0","25.1","24.0","21.9","2.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"Energy","115
001","19","3.277","31.6","26.3","36.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","201
001","99","2.816","14.1","14.1","23.2","24.2","20.2","2.0","1.0",".",".",".",".",".","1.0",".",".","."
"","002
201","187","2.840","13.9","15.5","25.7","24.1","17.6","1.6","1.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","286","2.832","14.0","15.0","24.8","24.1","18.5","1.7","1.4",".",".",".",".",".","0.3",".",".","."
"","202
001","207","2.729","14.5","8.2","27.5","12.1","36.2","1.0","0.5",".",".",".",".",".",".",".",".","."
"","202
002","210","2.860","17.6","11.4","28.1","12.9","29.0","1.0",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","417","2.795","16.1","9.8","27.8","12.5","32.6","1.0","0.2",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","26","3.104","15.4","26.9","19.2","23.1","7.7",".",".","3.8",".",".",".",".",".",".",".","3.8"
"General Physics","207
001","178","2.816","19.7","16.9","18.0","15.2","23.6","5.1","1.7",".",".",".",".",".",".",".",".","."
"General Physics","208
001","79","3.120","24.1","16.5","32.9","12.7","13.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","25","3.200","24.0","24.0","36.0",".","16.0",".",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","24","2.674","16.7","4.2","25.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".","4.2","."
"Directed Study","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
001","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
307","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","17","3.500","23.5","52.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","28","2.696","21.4","21.4","25.0","3.6","10.7","3.6","14.3",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","12","3.417","41.7","8.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","18","3.222","27.8","33.3","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","406
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","18","3.056","22.2","16.7","33.3","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","26","3.000","30.8","15.4","23.1","7.7","11.5","11.5",".",".",".",".",".",".",".",".",".","."
"","499
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Introduction to Plasmas","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Particle Physics","535
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Atomic Structure","545
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid State Physics","551
001","13","3.550","38.5","15.4","15.4","7.7",".",".",".","23.1",".",".",".",".",".",".",".","."
"Electronic Aids to Measmnt","623
001","10","3.300","30.0","20.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 266 of 388",""
