"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Islam Wrld:MidEast,500-1500","205
001","13","3.362","46.2","30.8",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".","7.7"
"Westrn Relig&Intellect Hist","208
001","12","3.250","8.3","25.0","50.0",".",".",".",".","8.3",".",".",".",".",".","8.3",".","."
"Intro to Biblical Lit","227
001","87","2.729","13.8","17.2","33.3","6.9","9.2","9.2","5.7","3.4",".",".",".",".",".",".",".","1.1"
"Biblical Poetry in Translation","237
001","15","2.867","6.7","40.0","13.3","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","242
001","41","3.232","19.5","36.6","24.4","14.6","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","16","3.467","31.3","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"Social&Intel Hist 1200-1450","318
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","7","3.864","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350
001","35","2.976","34.3","11.4","17.1","5.7","11.4","5.7","5.7","8.6",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","12","3.000",".","16.7","58.3","16.7",".",".",".",".",".",".",".",".",".",".","8.3","."
"Topics in Religious Studies","400
001","53","3.438","43.4","13.2","18.9","13.2",".","1.9",".","5.7",".",".",".",".",".",".","3.8","."
"Religions of India","416
001","21","3.650","47.6","38.1","4.8",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Survey of Tibetan Buddhism","421
001","50","3.255","28.0","26.0","32.0","8.0",".",".","4.0","2.0",".",".",".",".",".",".",".","."
"Am Relig Hist to Mid-19th c","451
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
011","36","3.297","52.8","11.1","16.7","11.1",".","2.8",".","5.6",".",".",".",".",".",".",".","."
"RELIG ST
856","Dept. Total","407","3.145","28.7","21.6","24.8","10.1","3.7","3.2","2.7","3.2",".",".",".",".","0.2","0.5","0.7","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","2.819","5.9","33.3","29.4","13.7","7.8","3.9","5.9",".",".",".",".",".",".",".",".","."
"Sophomore","","108","2.994","22.2","21.3","25.9","13.0","4.6","4.6","4.6","0.9",".",".",".",".","0.9","0.9",".","0.9"
"Junior","","118","3.279","37.3","18.6","24.6","5.9","5.1","0.8","2.5","4.2",".",".",".",".",".",".",".","0.8"
"Senior","","123","3.262","32.5","21.1","23.6","10.6",".","4.1",".","5.7",".",".",".",".",".","0.8","1.6","."
"Undergraduates","","400","3.131","27.8","22.0","25.3","10.3","3.8","3.3","2.8","3.3",".",".",".",".","0.3","0.5","0.5","0.5"
"Special","","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"Graduate","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","407","3.145","28.7","21.6","24.8","10.1","3.7","3.2","2.7","3.2",".",".",".",".","0.2","0.5","0.7","0.5"
