"NURSING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","110","3.833","75.5","19.1","2.7",".",".",".","0.9","0.9",".",".",".",".",".",".","0.9","."
"Intro to Nursing Practice","212","001","102","3.314","15.7","47.1","22.5","13.7","1.0",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nursing I","219","001","107","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Hlth Hist&Patient Assessmnt","301","001","90","3.750","60.0","32.2","5.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","302","001","31","3.677","41.9","51.6","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306","001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","31","3.790","61.3","35.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312","001","30","3.200","6.7","46.7","30.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319","001","29","3.828","72.4","20.7","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322","001","43","3.733","65.1","23.3","7.0","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","43","3.721","55.8","34.9","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","22","3.455","27.3","40.9","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts-Prof Nursing Pract","406","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","40","3.663","57.5","22.5","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","50","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","28","3.696","53.6","32.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433","001","65","3.985","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434","001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","444","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","444","003","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","","Course Total","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","24","3.813","79.2","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","470","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","490","005","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","20","3.948","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","001","24","3.771","54.2","45.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","002","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","004","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","","Course Total","50","3.786","62.0","36.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Assessment-Primary Care","601","001","32","3.469","21.9","56.3","18.8",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 367 of 388",""
