"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","82","3.562","45.1","24.4","26.8","1.2","1.2",".",".",".",".",".",".",".",".",".",".","1.2"
"542
Veterinary Ophthalmology","001","","83","3.590","44.6","33.7","18.1","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","83","3.024","8.4","16.9","55.4","9.6","9.6",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","83","4.000","1.2",".",".",".",".",".",".","98.8",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","83","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"642","001","","30","4.000","6.7",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","31","4.000","9.7",".",".",".",".",".",".","90.3",".",".",".",".",".",".",".","."
"644","001","","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"644","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Orthopedic Surgery","Course Total","","24","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"645","001","","28","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"645","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","30","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","26","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","31","4.000","22.6",".",".",".",".",".",".","77.4",".",".",".",".",".",".",".","."
"675
Special Topics","001","","12","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"741
Clinical Ophthalm Rotation","001","","23","4.000","39.1",".",".",".",".",".",".","60.9",".",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875
Special Topics","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
