"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"Reading & Rsch-Marketing","Course Total","","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"815
Analysis-Commercial Dbases","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Exper Research in Marketing","001","","14","3.607","21.4","78.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999
Readng & Rsch-Marketing PhD","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MARKETNG
237","Dept. Total","","1558","3.267","20.5","31.3","34.5","9.5","3.1","0.4",".","0.6",".",".",".",".",".",".",".","."
