"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"699","045","","33","3.750","66.7","12.1","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","90","3.886","81.1","10.0","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Theories of Mass Media","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Film Colloquium","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903
Telecommunicatns Colloquium","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"904
Communicatn Studies Colloq","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950
Smr-Radio-Tv-Film","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar in Film Theory","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","",".",".",".",".",".",".",".","88.2",".",".",".","11.8",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
