"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","6","3.571","50.0","16.7","33.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","15","3.625","53.3","20.0","26.7",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","22","3.625","54.5","18.2","27.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","5","4.000","40.0",".",".",".","",".","",".","",".","20.0","",".",".","",".",".","",".","20.0","20.0","."
"Graduate","","59","3.684","23.7","8.5","5.1",".","",".","",".","",".","59.3","",".",".","",".","1.7","",".",".","1.7","."
"Prof Yr 3","","9","4.000","33.3",".",".",".","",".","",".","",".","66.7","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","3","",".",".",".",".","",".","",".","",".","66.7","",".",".","",".","33.3","",".",".",".","."
"Professionals","","12","4.000","25.0",".",".",".","",".","",".","",".","66.7","",".",".","",".","8.3","",".",".",".","."
