"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","356
002","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","24","3.783","66.7","16.7","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Stage Lighting I","366
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","34","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing II","412
001","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","422
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
448","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","448
008","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
448","45","3.583","51.1","26.7","6.7","2.2","4.4","2.2",".","2.2",".",".",".",".",".","4.4",".","."
"","448
010","45","3.889","86.7","8.9","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","153","3.842","76.5","13.7","3.3","1.3","2.6","0.7",".","0.7",".",".",".",".",".","1.3",".","."
"Figure Painting","001
452","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","518
001","15","3.500","46.7","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".","6.7","6.7",".","."
"Advanced Painting I","522
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","524
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","524
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","Course Total","3","***","","","","","","","","","","","","","","","",""
"Advanced Wood Working","534
001","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","10","3.948","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","23","3.587","47.8","34.8","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","16","3.895","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556
001","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
