"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","160","2.877","16.9","23.1","22.5","15.0","13.1","6.3","2.5",".",".",".",".",".",".","0.6",".","."
"","102
001","30","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","44","3.409","22.7","47.7","20.5","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","49","3.298","26.5","32.7","22.4","8.2","4.1",".","2.0","2.0",".",".",".",".",".","2.0",".","."
"General Microbiology Lab","Course Total","123","3.413","30.1","38.2","19.5","7.3","2.4",".","0.8","0.8",".",".",".",".",".","0.8",".","."
"","299
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.783","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiology","001
303","166","2.861","19.3","14.5","19.9","24.1","17.5","3.6","1.2",".",".",".",".",".",".",".",".","."
"","304
001","28","3.196","14.3","32.1","39.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","002
304","43","3.151","9.3","37.2","37.2","7.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"","304
003","38","3.211","21.1","31.6","34.2","5.3","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","109","3.183","14.7","33.9","36.7","6.4","7.3",".","0.9",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","48","3.104","25.0","31.3","16.7","14.6","6.3","2.1","4.2",".",".",".",".",".",".",".",".","."
"Bacterial Genetics","370
001","75","2.775","25.3",".","32.0","9.3","25.3","5.3","2.7",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","7","3.000","14.3","14.3","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Rumen Microbiology","505
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","001
523","9","3.667","88.9",".",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","531
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","38","3.770","57.9","34.2","5.3",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Physiol Divrsty-Procaryotes","550
001","84","2.476","9.5","14.3","22.6","16.7","14.3","21.4","1.2",".",".",".",".",".",".",".",".","."
"","551
001","20","3.175","30.0","25.0","35.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","002
551","19","3.222","26.3","10.5","42.1","10.5","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","003
551","24","3.313","29.2","16.7","45.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","551
004","20","3.300","25.0","15.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","83","3.256","27.7","16.9","44.6","4.8","2.4","1.2","1.2",".",".",".",".",".","1.2",".",".","."
"Microbiol-Atomic Resolution","568
001","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Indus Microbiol/Biotechnlgy","632
001","16","3.467","62.5",".","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".","6.3","."
"Adv Microbiol/Food Pathgens","650
001","10","3.150","20.0","40.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 9 of 386"
