"EDU","","","","","","","","","","","","","","","","","","","","",""
"","PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"Weight Training II","232","001","","21","3.667","33.3","28.6","9.5",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Golf II","238","001","","19","3.611","10.5","36.8",".",".",".",".",".","47.4",".",".",".",".",".","5.3",".","."
"Power Skating","244","001","","23","3.433","21.7","21.7","17.4",".","4.3",".",".","34.8",".",".",".",".",".",".",".","."
"Fencing II","257","001","","17","3.750","76.5","5.9",".","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","262","001","","20","3.571","35.0","20.0","5.0","10.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"","262","002","","17","3.542","23.5","29.4","17.6",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"","262","003","","16","3.550","18.8","31.3","12.5",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Tennis II","","Course Total","","53","3.556","26.4","26.4","11.3","3.8",".",".",".","32.1",".",".",".",".",".",".",".","."
"Racquetball II","263","001","","12","3.889","58.3","16.7",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Basketball II","270","001","","15","3.385","6.7","53.3","26.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Soccer II","273","001","","26","3.935","76.9","11.5",".",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","275","001","","29","3.583","41.4","17.2","20.7","3.4",".",".",".","13.8",".",".",".",".",".","3.4",".","."
"","275","002","","31","3.786","67.7","12.9","6.5",".","3.2",".",".","9.7",".",".",".",".",".",".",".","."
"Volleyball II","","Course Total","","60","3.692","55.0","15.0","13.3","1.7","1.7",".",".","11.7",".",".",".",".",".","1.7",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","25","3.139","20.0","8.0","20.0","20.0","4.0",".",".","28.0",".",".",".",".",".",".",".","."
"Bicycling","295","001","","23","3.658","43.5","21.7","17.4",".",".",".",".","8.7",".",".",".",".",".","8.7",".","."
"Workshop-Physical Activity","300","001","","11","3.750","27.3",".","9.1",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301","001","","23","3.688","60.9",".",".",".","4.3","4.3",".","26.1",".",".",".",".",".","4.3",".","."
"Aquatic Conditioning","303","001","","24","3.500","20.8","12.5","12.5","4.2",".",".",".","50.0",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308","001","","19","3.545","15.8","31.6","10.5",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"Water Safety Instructor","310","001","","21","3.607","28.6","23.8","14.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Lifeguard Training Renewal","313","001","","13","3.591","30.8","38.5","15.4",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Triathlon Training","330","001","","28","3.462","3.6","35.7","7.1",".",".",".",".","53.6",".",".",".",".",".",".",".","."
"","362","001","","18","3.536","44.4","27.8",".",".",".",".","5.6","22.2",".",".",".",".",".",".",".","."
"","362","002","","20","3.917","50.0","10.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Tennis III","","Course Total","","38","3.712","47.4","18.4",".",".",".",".","2.6","31.6",".",".",".",".",".",".",".","."
