"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3682","3.231","30.9","22.3","18.0","10.8","7.5","1.6","1.1","4.6","0.0","1.0","0.1","1.1","0.5","0.2","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Freshmen","","508","2.851","14.4","17.5","26.8","20.7","15.0","3.0","1.8",".",".","0.2",".",".","0.4",".",".","0.4"
"Sophomore","","946","3.272","33.2","24.3","19.8","12.4","7.0","1.0","0.7","0.5",".","0.1","0.1",".","0.2","0.1","0.2","0.4"
"Junior","","862","3.161","29.8","24.8","20.0","10.2","9.2","2.4","1.9","0.8",".",".","0.1","0.1",".","0.5","0.1","0.1"
"Senior","","858","3.334","37.5","24.4","17.0","9.4","6.2","1.6","0.8","2.1",".","0.2",".",".","0.5","0.2",".","."
"Undergraduates","","3174","3.190","30.4","23.4","20.2","12.3","8.6","1.9","1.2","0.9",".","0.1","0.1","0.0","0.3","0.2","0.1","0.2"
"Special","","34","3.285","38.2","23.5","8.8","2.9","5.9","2.9","2.9","8.8",".",".",".",".","5.9",".",".","."
"Graduate","","472","3.747","33.3","15.0","3.8","0.8","0.2",".",".","29.0","0.2","6.6",".","8.7","2.1",".",".","0.2"
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","3682","3.231","30.9","22.3","18.0","10.8","7.5","1.6","1.1","4.6","0.0","1.0","0.1","1.1","0.5","0.2","0.1","0.2"
