"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","18","3.059","16.7","33.3","11.1","11.1","22.2",".",".",".",".",".",".",".",".","5.6",".","."
"306
The Real Estate Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"312
Regional Develop & Planning","001","","13","3.038","7.7","23.1","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"548
Environmental Aesthetics","001","","14","3.071","21.4","14.3","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"590
Contemp Topics-Urb & Reg Pl","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Urbanism and Urbanization","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"721","001","","11","3.364","18.2","72.7",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"721","002","","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","","23","3.370","21.7","47.8","26.1",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"734
Regional Econ Prob Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","21","3.524","47.6","28.6","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"744
Regional Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Planning Effectiveness","001","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Rsrce Pol Iss:Regional&Natl","001","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","24","3.630","41.7","37.5","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"969
Smr:Trends&Iss-Public Plan","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","3","***","","","","","","","","","","","","","","","",""
