"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"299","069","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.857","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
Prgm Planning-Fam&Consmr Ed","001","","24","3.625","45.8","37.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","15","2.733","6.7","26.7","33.3",".","26.7",".","6.7",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"470
Stdt Teaching in Voc Educ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Intro-Continuing & Voc Educ","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Intro-Eval in Cont & Voc Ed","001","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Program Develop-Cont Educ","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"643
Adult Independent Learner","001","","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Career Dev Through Life Spn","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
General Topics","001","","11","3.591","72.7","9.1",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","5","***","","","","","","","","","","","","","","","",""
"709
Iss& Probs-Eval-Cont&Voc Ed","001","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"729
Iss & Probs-Cont & Voc Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Suprvsn in Extension&Con Ed","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","31","",".",".",".",".",".",".",".","61.3",".",".",".","38.7",".",".",".","."
