"EGR","","","","","","","","","","","","","","","","","","","","",""
"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","399","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","412","001","","24","3.458","54.2",".","37.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","412","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","412","003","","7","3.833","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Power Electronic Circuits","","Course Total","","34","3.545","58.8",".","32.4",".","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","23","3.087","26.1","21.7","30.4","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","8","3.125","25.0","37.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Digital Communication Sys","437","001","","30","3.550","43.3","36.7","16.7",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","","16","3.344","18.8","37.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"E&M Fields and Waves","440","001","","18","3.235","38.9","11.1","16.7","11.1","16.7",".",".","5.6",".",".",".",".",".",".",".","."
"Digital Microprocessors","453","001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math&Comp Model-Physiol Sys","461","001","","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","17","3.824","94.1",".",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","16.7","."
"Synchronous Machines","511","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","","7","3.100","14.3","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".","28.6","."
"","539","002","","9","3.438","44.4","11.1","22.2",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","539","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","","Course Total","","11","3.500","45.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Processing-Electronic Matls","544","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","552","001","","38","2.878","18.4","13.2","21.1","26.3","15.8",".","2.6","2.6",".",".",".",".",".",".",".","."
"","552","002","","38","2.895","26.3","7.9","28.9","13.2","18.4",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","76","2.887","22.4","10.5","25.0","19.7","17.1",".","3.9","1.3",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","25","3.700","56.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","85","3.165","30.6","27.1","20.0","8.2","9.4",".","4.7",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","22","3.476","50.0","13.6","22.7","4.5",".","4.5",".",".",".",".",".",".","4.5",".",".","."
"","601","001","","48","3.283","20.8","22.9","41.7","10.4",".",".",".","4.2",".",".",".",".",".",".",".","."
"","601","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","003","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","","Course Total","","62","3.348","30.6","24.2","32.3","8.1",".",".",".","4.8",".",".",".",".",".",".",".","."
"","602","001","","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","002","","8","3.700","25.0","37.5",".",".",".",".",".",".",".",".",".",".","25.0",".","12.5","."
"","602","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","","Course Total","","38","3.866","65.8","23.7","2.6",".",".",".",".",".",".",".",".",".","5.3",".","2.6","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 119 of 385",""
