"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"100
Intro-Amer Indian Studies","001","","33","3.629","48.5","27.3","15.2",".","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"402
Fourth Semester Ojibwe","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"450","001","","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"450","002","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"450","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","","29","3.679","62.1","17.2","10.3","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"578
Rur Minority Grp&Povrty-U S","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
