"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","008","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","18.8",".",".",".",".",".",".","75.0",".",".",".",".","6.3",".",".","."
"835
Advanced History-Philosophy","001","","14","3.909","64.3","14.3",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"916
Smr-Philos of Language","001","","8","3.800","50.0",".","12.5",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"920
Smr-Philosophy of Science","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Smr-History of Philosophy","001","","15","3.708","40.0","33.3","6.7",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"951
Seminar-Philosophy of Mind","001","","16","3.833","56.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","40","",".",".",".",".",".",".",".","92.5","2.5",".",".",".","5.0",".",".","."
"994
Research in Ethics","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"997
Research-Aesthetics","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"998
Research-History of Philos","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 268 of 385",""
