"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","320","3.410","30.0","41.6","16.3","6.9","3.4","0.3","0.9","0.6",".",".",".",".",".",".",".","."
"Voice Training","140
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","20","3.921","85.0","5.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","150
003","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","19","3.806","68.4","15.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","005
150","18","3.882","72.2","22.2",".",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"","006
150","18","3.912","83.3","5.6","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","008
150","18","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
150","16","3.563","68.8","12.5","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","175","3.757","65.7","20.6","9.7","0.6","0.6","0.6",".","1.7","0.6",".",".",".",".",".",".","."
"","161
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
161","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
161","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","50","3.880","78.0","20.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","001
170","19","3.508","57.9","26.3","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"History of Theatre","231
001","26","2.940","11.5","3.8","53.8","15.4","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","12","3.417","33.3","41.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","001
250","18","3.667","72.2",".","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Asian Performance","326
001","10","3.903","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","40","3.603","45.0","30.0","20.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","6","3.400","16.7","33.3","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Acting Realism","350
001","13","3.462","61.5",".","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","30","3.829","80.0","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"","362
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","33","3.712","60.6","21.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Practice-Stage Costume","363
001","20","3.939","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","21","3.007","14.3","28.6","33.3","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Stage Management","001
379","12","3.333","33.3","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Holocaust Theme-West Drama","410
001","37","3.125","21.6","27.0","21.6","13.5","10.8","2.7",".","2.7",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415
001","17","3.647","52.9","35.3","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Musical Performnc for Actor","440
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 305 of 385",""
