"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"341","001","","76","3.000","27.6","13.2","19.7","13.2","23.7",".","1.3",".",".",".",".",".",".","1.3",".","."
"341","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Immunology","Course Total","","80","3.044","30.0","13.8","18.8","12.5","22.5",".","1.3",".",".",".",".",".",".","1.3",".","."
"350
Parasitology","001","","41","3.195","22.0","24.4","36.6","4.9","12.2",".",".",".",".",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Medical Mycology","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
Medical Mycology Laboratory","002","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","40","3.000","20.0","15.0","25.0","25.0","10.0","2.5",".","2.5",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","56","2.893","10.7","23.2","26.8","19.6","16.1","3.6",".",".",".",".",".",".",".",".",".","."
"677
Adv Topics-Medicl Microbiol","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","33","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","3.964","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Eukaryotic Microb Pathogenesis","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"790
Immunol-Infectious Disease","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
