"VET","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502
001","79","3.272","31.6","8.9","49.4","2.5","7.6",".",".",".",".",".",".",".",".",".",".","."
"Vet Neuroanatomy&Neurophys","505
001","79","3.127","19.0","21.5","36.7","11.4","11.4",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Physiology B","506
001","79","3.342","15.2","43.0","38.0","2.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"Anat-Lrge Domestic Animals","550
001","79","3.253","24.1","24.1","32.9","11.4","7.6",".",".",".",".",".",".",".",".",".",".","."
"Fund of Vet Pharmacology","552
001","79","3.013","8.9","6.3","68.4","11.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Toxicology","555
001","78","3.058","12.8","26.9","33.3","12.8","14.1",".",".",".",".",".",".",".",".",".",".","."
"Basic & Clin Vet Therapeutics","556
001","78","3.141","23.1","3.8","59.0","6.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"COMP BIO
934","Dept. Total","551","3.192","19.2","19.2","45.4","8.3","7.8",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","395","3.221","19.7","20.8","45.1","7.8","6.6",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","156","3.108","17.9","15.4","46.2","9.6","10.9",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","551","3.192","19.2","19.2","45.4","8.3","7.8",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","551","3.192","19.2","19.2","45.4","8.3","7.8",".",".",".",".",".",".",".",".",".",".","."
