"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","349
001","13","2.692",".","7.7","53.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","349
002","13","3.038",".","38.5","53.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","349
003","7","2.857",".",".","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","349
005","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","48","3.094","8.3","33.3","43.8","6.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","20","3.675","35.0","65.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","37","3.216","32.4","21.6","18.9","16.2","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"","361
003","32","2.694","9.4","12.5","21.9","34.4","12.5","3.1","3.1",".",".",".",".",".",".","3.1",".","."
"","004
361","38","2.579","13.2","5.3","21.1","26.3","23.7","10.5",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","107","2.835","18.7","13.1","20.6","25.2","15.0","5.6","0.9",".",".",".",".",".",".","0.9",".","."
"","363
001","33","2.576","9.1","9.1","27.3","15.2","30.3","9.1",".",".",".",".",".",".",".",".",".","."
"","002
363","36","2.778","11.1","13.9","33.3","19.4","13.9","8.3",".",".",".",".",".",".",".",".",".","."
"","363
003","38","2.737","15.8","7.9","36.8","7.9","21.1","10.5",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","107","2.701","12.1","10.3","32.7","14.0","21.5","9.3",".",".",".",".",".",".",".",".",".","."
"","364
001","18","2.639","5.6","22.2","16.7","5.6","50.0",".",".",".",".",".",".",".",".",".",".","."
"","002
364","31","3.500","32.3","35.5","32.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
003","28","2.750","10.7","10.7","25.0","32.1","17.9","3.6",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","77","3.026","18.2","23.4","26.0","13.0","18.2","1.3",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","84","3.259","21.4","32.1","31.0","9.5","2.4","2.4",".",".",".",".",".",".",".","1.2",".","."
"Energy Systems Laboratory","370
001","54","2.685","1.9","27.8","14.8","24.1","27.8","3.7",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
001","14","3.464","57.1","7.1","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","417
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","23","3.386","39.1","17.4","21.7","13.0","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","001
418","37","3.459","45.9","10.8","37.8",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"","418
002","26","3.712","61.5","19.2","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","72","3.542","48.6","16.7","31.9",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","16","3.600","43.8","31.3","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","001
429","24","3.587","54.2","8.3","29.2","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"","446
001","23","3.065","30.4","13.0","17.4","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","446
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","27","3.130","37.0","11.1","14.8","22.2","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","451
001","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 130 of 391",""
