"L&S","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"","101
001","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
101","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","53","3.783","71.7","17.0","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","103
001","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","20","3.658","50.0","30.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","002
201","16","3.688","75.0","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","36","3.671","61.1","22.2","8.3","2.8",".","2.8",".","2.8",".",".",".",".",".",".",".","."
"Introduction to Judaism","211
001","17","3.294","17.6","29.4","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217
001","17","3.500","64.7","11.8","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","9","2.833",".","44.4","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","30","2.889","16.7","16.7","40.0","3.3","3.3",".","10.0","10.0",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Cultural History","369
001","36","3.146","11.1","33.3","27.8","16.7","5.6",".",".","2.8",".",".",".",".",".","2.8",".","."
"Survey of Modern Hebrew Lit","401
001","13","3.692","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syriac I","605
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Isaiah","651
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Biblical Studies","951
001","11","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","990
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"HEBR ST
440","Dept. Total","289","3.489","45.3","22.5","19.0","5.2","1.7","0.7","1.4","3.8",".",".",".",".",".","0.3",".","."
