"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Great Scientists","100","001","","39","3.203","17.9","12.8","41.0","5.1","5.1",".",".","15.4",".",".",".",".",".",".","2.6","."
"Origins-Scientific Thought","201","001","","96","3.382","37.5","19.8","27.1","8.3","3.1",".","1.0","3.1",".",".",".",".",".",".",".","."
"Sci in 20th C:Hist Overview","203","001","","87","3.415","21.8","41.4","27.6","2.3",".","1.1",".","3.4",".",".",".",".",".","2.3",".","."
"History-Astronomy&Cosmology","206","001","","18","2.941","22.2","5.6","27.8","16.7","22.2",".",".","5.6",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","","14","3.333","21.4","21.4","35.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".","7.1"
"History of Technology","337","001","","29","3.460","34.5","24.1","17.2","6.9","3.4",".",".","10.3",".",".",".",".",".",".",".","3.4"
"History of Ecology","353","001","","21","3.158","33.3","4.8","38.1","4.8","4.8",".","4.8","9.5",".",".",".",".",".",".",".","."
"History of Mathematics","473","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","","15","3.449","33.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","18","2.706","11.1",".","55.6",".","16.7","11.1",".","5.6",".",".",".",".",".",".",".","."
"Studies in Early Modern Sci","623","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies-Hist of Technology","637","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Historiography & Methods","720","001","","8","3.500","62.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Smr:Modern Physical Science","905","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"History of Biology&Medicine","909","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Aspects-Dev of Sci","913","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Special Topics","921","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","4","***","","","","","","","","","","","","","","","",""
