"MANAGEMENT AND HUMAN RE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"725","001","","41","3.756","53.7","43.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"725","002","","33","3.621","30.3","63.6","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"725","030","","39","3.618","23.1","74.4",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","","113","3.670","36.3","60.2","2.7",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"727
Small Business Planning","001","","34","3.824","73.5","17.6","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"765","002","","14","3.250","14.3","35.7","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"765","003","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","33","3.576","51.5","21.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"773
Seminar-Arts Administration","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","204","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Smr-Administrative Policy","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
