"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Chinese Historical Texts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"932
Smr-Chinese Linguistics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
