"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"429","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"429","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Romance Languages","Course Total","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Intdis Stdy-Medvl Civ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"638
La Poesia del Novecento","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"662
Il Trecento","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","7","3.625","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.750","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"952
Smr-Studies in Italian Lit","001","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","10","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
