"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Arithmetical Problm Solving","Course Total","101","3.079","27.7","16.8","23.8","12.9","16.8","1.0","1.0",".",".",".",".",".",".",".",".","."
"","131
001","23","3.370","39.1",".","56.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","131
002","34","3.500","50.0","20.6","8.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","2.9"
"","131
003","33","3.348","36.4","27.3","18.2","6.1","12.1",".",".",".",".",".",".",".",".",".",".","."
"","131
005","33","3.697","60.6","36.4",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","123","3.488","47.2","22.8","17.9","5.7","4.9",".","0.8",".",".",".",".",".",".",".",".","0.8"
"","132
001","37","2.905","13.5","16.2","35.1","8.1","27.0",".",".",".",".",".",".",".",".",".",".","."
"","002
132","31","2.726","9.7","6.5","45.2","3.2","32.3","3.2",".",".",".",".",".",".",".",".",".","."
"","132
004","25","2.980","28.0","12.0","32.0",".","20.0","8.0",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","93","2.866","16.1","11.8","37.6","4.3","26.9","3.2",".",".",".",".",".",".",".",".",".","."
"","141
001","44","2.977","34.1","6.8","25.0","11.4","13.6","6.8","2.3",".",".",".",".",".",".",".",".","."
"","141
003","42","3.321","50.0","16.7","9.5","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","86","3.145","41.9","11.6","17.4","12.8","9.3","3.5","3.5",".",".",".",".",".",".",".",".","."
"","001
210","37","2.757","16.2","10.8","27.0","21.6","16.2","5.4","2.7",".",".",".",".",".",".",".",".","."
"","210
002","81","3.181","35.8","22.2","16.0","1.2","19.8","2.5","1.2",".",".",".",".",".",".","1.2",".","."
"","210
003","152","2.895","23.7","11.2","24.3","12.5","24.3","2.6","1.3",".",".",".",".",".",".",".",".","."
"","210
004","87","3.200","23.0","27.6","25.3","16.1","3.4","1.1","1.1","1.1",".",".",".",".",".","1.1",".","."
"","210
005","93","2.651","11.8","15.1","35.5","5.4","17.2","10.8","4.3",".",".",".",".",".",".",".",".","."
"","006
210","88","2.523","10.2","12.5","27.3","10.2","22.7","14.8","2.3",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","538","2.873","20.6","16.4","25.8","10.4","18.2","5.9","2.0","0.2",".",".",".",".",".","0.4",".","."
"","211
001","175","2.913","27.4","10.3","28.6","9.1","12.6","8.6","2.3","0.6",".",".",".",".",".","0.6",".","."
"","002
211","161","2.460","12.4","12.4","19.3","23.6","12.4","11.2","8.7",".",".",".",".",".",".",".",".","."
"","211
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Calculus","Course Total","337","2.695","20.2","11.3","24.0","16.0","12.5","9.8","5.3","0.3",".",".",".",".",".","0.3",".","0.3"
"Calc/Intro-Differntl Equats","001
213","117","3.043","35.9","10.3","18.8","8.5","20.5","3.4","1.7","0.9",".",".",".",".",".",".",".","."
"","217
001","199","2.913","16.6","22.6","21.1","18.6","13.1","5.5","1.0","0.5",".",".",".",".",".","1.0",".","."
"","002
217","160","2.525","11.9","14.4","21.3","21.9","13.8","8.8","8.1",".",".",".",".",".",".",".",".","."
"","217
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","Course Total","360","2.739","14.4","18.9","21.1","20.0","13.3","6.9","4.2","0.3",".",".",".",".",".","0.6",".","0.3"
"","221
001","212","2.590","9.4","15.1","25.9","18.9","18.4","6.6","5.7",".",".",".",".",".",".",".",".","."
"","221
002","187","2.788","24.6","15.0","20.9","10.2","16.0","6.4","6.4",".",".",".",".",".",".","0.5",".","."
"Calculus&Analytic Geometry","Course Total","399","2.682","16.5","15.0","23.6","14.8","17.3","6.5","6.0",".",".",".",".",".",".","0.3",".","."
"","001
222","29","2.621","17.2","10.3","20.7","17.2","17.2","17.2",".",".",".",".",".",".",".",".",".","."
"","002
222","33","2.727","27.3","3.0","12.1","21.2","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"","222
003","202","2.488","17.8","6.4","24.8","7.9","26.7","7.4","8.9",".",".",".",".",".",".",".",".","."
"","222
004","37","2.622","21.6","5.4","24.3","10.8","21.6","13.5","2.7",".",".",".",".",".",".",".",".","."
"","005
222","108","2.588","11.1","15.7","25.9","11.1","22.2","9.3","4.6",".",".",".",".",".",".",".",".","."
"","222
006","32","2.563","12.5","9.4","28.1","9.4","28.1","9.4","3.1",".",".",".",".",".",".",".",".","."
"","222
007","34","2.441","14.7","2.9","23.5","14.7","29.4","8.8","5.9",".",".",".",".",".",".",".",".","."
"","008
222","30","2.633","20.0","6.7","23.3","13.3","26.7","3.3","6.7",".",".",".",".",".",".",".",".","."
"","009
222","193","2.614","20.2","16.6","17.6","9.8","18.1","8.8","8.8",".",".",".",".",".",".",".",".","."
"","010
222","28","2.593","17.9","3.6","17.9","32.1","7.1","17.9",".","3.6",".",".",".",".",".",".",".","."
"","222
011","25","2.600","24.0","12.0","20.0","4.0","24.0","4.0","12.0",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","751","2.571","18.0","10.4","22.0","11.3","22.6","9.1","6.5","0.1",".",".",".",".",".",".",".","."
