"ALS","","","","","","","","","","","","","","","","","","","",""
"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"GENETICS
412","Dept. Total","618","3.053","35.0","13.4","17.2","4.2","13.1","3.4","1.9","9.9","0.3",".","",".","1.3","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.614","70.4","13.0","11.1","3.7","1.9",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","70","2.979","48.6","11.4","11.4","5.7","11.4","4.3","7.1",".",".",".","",".",".",".",".",".","."
"Junior","","108","2.697","25.0","7.4","22.2","4.6","31.5","6.5","2.8",".",".",".","",".",".",".",".",".","."
"Senior","","220","2.974","27.7","14.5","25.5","6.8","16.4","4.5","1.8","1.4","0.5",".","",".",".","0.5",".","0.5","."
"Undergraduates","","452","2.936","35.4","12.2","20.8","5.8","17.5","4.4","2.7","0.7","0.2",".","",".",".","0.2",".","0.2","."
"Special","","16","3.731","81.3","6.3","6.3",".","6.3",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","149","3.609","28.9","18.1","6.7",".","0.7","0.7",".","38.9","0.7",".","",".","5.4",".",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","618","3.053","35.0","13.4","17.2","4.2","13.1","3.4","1.9","9.9","0.3",".","",".","1.3","0.2",".","0.2","."
