"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Language&Social Interaction","535","001","24","2.917","12.5","20.8","29.2","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Small Groups","538","001","31","3.217","35.5","6.5","32.3","9.7","12.9",".",".",".",".",".",".",".",".","3.2",".","."
"Intro to Survey Research","544","001","13","3.583","46.2","15.4","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Ethnomethodology","545","001","14","3.179","21.4","28.6","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","20","3.100","30.0","15.0","35.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","16","2.500","12.5","6.3","6.3","12.5","37.5","6.3",".","12.5",".",".",".",".",".",".","6.3","."
"Rur Minority Grp&Povrty-U S","578","001","13","3.192","23.1","46.2","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Agriculture,Technol&Society","612","001","13","3.154","23.1","30.8","30.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","18","2.667","27.8",".","22.2",".","16.7","11.1","5.6","5.6","5.6",".",".",".",".","5.6",".","."
"Social Movements","626","001","28","3.341","42.9","25.0","3.6","10.7","10.7","3.6",".","3.6",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","25","3.523","40.0","36.0",".","8.0",".","4.0",".","8.0",".",".",".",".",".","4.0",".","."
"Social Stratification","633","001","20","3.400","35.0","40.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Social Structure of India","634","001","20","3.158","30.0","10.0","20.0","30.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","137","2.932","18.2","20.4","22.6","17.5","12.4","3.6","2.2","2.9",".",".",".",".",".",".",".","."
"Race and Ethnic Relations","646","001","22","2.818","13.6","13.6","22.7","22.7","27.3",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","23","3.432","43.5","17.4","21.7","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","14","3.208","21.4","35.7","21.4",".",".",".","7.1",".",".",".",".",".",".","7.1","7.1","."
"","682","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","046","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","35","3.792","91.4","2.9",".","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","12","3.935","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","57","3.857","89.5","5.3","1.8","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Intermed Political Sociol","724","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"InterSocPsych-Group&Collect","731","003","14","3.625","21.4","64.3",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
