"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"308
People, Chemicals, Envrnmnt","001","","17","3.313","23.5","11.8","58.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","15","3.200","20.0","13.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"650","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650","021","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","28","3.700","10.7",".","3.6",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.958","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"734
Capital Finance Mgmt-Med Mgrs","001","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"736
Strategic Planning-Med Mgrs","002","","23","3.435","39.1","34.8","4.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","16","3.625","68.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","17","3.353","29.4","23.5","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"872
Strategic Health Management","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","13","3.921","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess-Medical Technologies","Course Total","","35","3.885","80.0","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913
Clin Chem-Newborn-StateLab","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","27","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 360 of 392",""
