"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Terr Vertbrt:Life Hist&Ecol","001","","44","2.875","20.5","13.6","25.0","11.4","25.0","4.5",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","20","2.925","15.0","5.0","55.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"375","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","20","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","36","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","58","2.939","19.0","22.4","22.4","10.3","19.0","3.4","1.7","1.7",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","41","3.451","56.1","12.2","22.0",".","4.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.955","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","87.0",".",".",".","13.0",".",".",".","."
