"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","088","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","45","3.827","91.1","4.4",".",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"716
Reform&Change-Curric&Instr","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"760
Sex/Gender-Related Iss in C&I","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Interactv Media&Comp-Curric","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Instruction of Mathematics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Prosmr-Amer Curric Theory","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"840
Fld-School Reading Programs","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Culturally Relevnt Pedagogy","001","","28","4.000","89.3",".",".",".",".",".",".",".",".",".",".",".","10.7",".",".","."
"900
Smr-Educational Technology","001","","14","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"910
Smr-Curriculum Development","001","","20","3.971","80.0","5.0",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"942
Smr-Rsch on Math Education","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"948
Diversity Issues-Music Teachng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Science Education","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","003","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"975","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","31","3.956","90.3","6.5",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"976","001","","15","3.965","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"976","002","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Seminar-Reading","Course Total","","25","3.957","88.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","12","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","051","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 87 of 392"
