"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","30","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","30","3.310","16.7","40.0","33.3",".","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"300","003","","25","3.625","36.0","48.0","12.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"300","004","","20","3.450","40.0","40.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","105","3.505","34.3","40.0","21.0",".","1.9",".","1.0","1.0",".",".",".",".","1.0",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","37","3.347","37.8","24.3","10.8","16.2","8.1",".",".","2.7",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","33","3.212","15.2","36.4","42.4",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"479
Paideia:Ed in Westrn Cultur","001","","9","3.904","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Social Issues and Education","001","","32","3.565","34.4","46.9","9.4","6.3",".",".",".","3.1",".",".",".",".",".",".",".","."
"550
Philos of Moral Education","001","","12","3.455","25.0","33.3","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"567
Hist-Educ of Black Americns","001","","10","3.500","30.0","20.0","30.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","9","3.808","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","7","3.000","57.1",".","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.731","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"700
Colloquium-Ed Pol Studies","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Classics in Education","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","15","3.667","46.7","13.3","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"765
Issues in Educ Policy Analysis","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"830","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"830","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"872
Educ Policy Rsch Design","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 92 of 392"
