"THERAPEUTIC SCI (DEPT-KINES) Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"939
THER SCI","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","","34","3.632","58.8","29.4","5.9","2.9","",".","",".","","2.9",".",".",".",".",".","",".",".",".","."
"","105
001","","8","3.938","87.5","12.5",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 306","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","105
002 303","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Section Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","10","3.958","90.0","10.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Medical Terminology","148
001","","57","3.500","56.1","8.8","24.6",".","","10.5","",".","",".",".",".",".",".",".","",".",".",".","."
"Neurology","502
001","","20","3.900","90.0",".","10.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Orthopedics","503
001","","20","3.325","20.0","45.0","15.0","20.0","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","524
001 302","","5","3.500","40.0","20.0","40.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","524
001 301","","12","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Therapeutic Use of Activity","Course Total","","17","3.618","35.3","52.9","11.8",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","530
001 302","","10","3.950","90.0","10.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","530
001 301","","8","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Lifespan Occupatnl Perfrmnc","Course Total","","18","3.861","72.2","27.8",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","538
001 302","","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","538
001 301","","11","3.909","81.8","18.2",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Basic Occ Ther Pro Practice","Course Total","","17","3.941","88.2","11.8",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546
001 301","","10","3.600","30.0","60.0","10.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Intro-Augmentative Commun","631
001","","6","4.000","50.0",".",".",".","",".","",".","",".","50.0",".",".",".",".","",".",".",".","."
"Adaptatn-Phys Disablties I","639
001 301","","20","3.775","60.0","35.0","5.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","648
001 302","","9","3.722","55.6","33.3","11.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","648
001 301","","11","3.727","54.5","36.4","9.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","Course Total","","20","3.725","55.0","35.0","10.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Clerkship in Mental Health","649
001","","20","3.950","90.0","10.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","662
001","","8","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","662
002","","16","",".",".",".",".","",".","",".","",".",".",".","87.5",".",".","",".",".",".","."
"Fieldwork in Mental Health","Course Total","","24","",".",".",".",".","",".","",".","",".",".",".","91.7",".",".","",".",".",".","."
"","664
001","","15","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","664
002","","8","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","","23","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","791
007","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","791
012","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","791
024","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","","4","",".",".",".",".","",".","",".","",".","25.0",".",".",".","75.0","",".",".",".","."
