"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","","",""
"CHEMICAL ENGINEERING","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"220
CH E","","Grades
GPA","","","","","","","","","","","","","","","","","","","","",""
"","890
018","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Pre-Dissertator's Research","Course Total","60",".",".","",".",".","",".","",".","",".","71.7",".",".",".","28.3","",".",".",".","."
"Smr:Adv in Transport Phenom","920
001","5",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Rheology Research Seminar","925
001","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Biotechnol Traing Prgm Smr","932
001","7
3.714","71.4",".","","28.6",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Research Seminar","960
001","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Chem Engineering","961
002","19
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Process Anal,Syn,Dyn&Contrl","970
001","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","990
001","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
002","3",".",".","",".",".","",".","",".","",".","66.7",".",".",".","33.3","",".",".",".","."
"","990
003","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
005","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
006","2",".",".","",".",".","",".","",".","",".","50.0",".",".",".","50.0","",".",".",".","."
"","990
007","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
008","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
010","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
011","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
013","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
015","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
018","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Thesis-Research","Course Total","24",".",".","",".",".","",".","",".","",".","83.3",".",".",".","16.7","",".",".",".","."
