"INDUSTRIAL ENGINEERING","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"490
IND ENGR","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"Organization and Job Design","653
001","31
3.767","61.3","25.8","","9.7",".","",".","",".","",".",".",".",".",".",".",".",".","3.2","."
"","691
004","42
3.861","69.0","26.2","",".",".","",".","",".","",".","4.8",".",".",".",".",".",".",".","."
"","691
005","4
3.778","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","Course Total","46
3.855","67.4","28.3","",".",".","",".","",".","",".","4.3",".",".",".",".",".",".",".","."
"","699
014","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","699
016","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
017","4
3.667","50.0",".","","25.0",".","",".","",".","",".",".",".",".",".",".","25.0",".",".","."
"","699
018","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
019","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
025","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
030","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
031","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
033","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
037","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","699
046","4
4.000","75.0",".","",".",".","",".","",".","",".",".",".",".",".","25.0",".",".",".","."
"","699
053","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","28
3.959","71.4",".","","3.6",".","",".","",".","",".","14.3",".",".",".","3.6","7.1",".",".","."
"Grad Cooperative Educ Program","702
001","2",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Network Flows","719
001","2
3.750","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726
001","3
3.500","33.3","33.3","","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","790
014","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
017","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
018","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
019","4",".",".","",".",".","",".","",".","",".","25.0",".",".",".","75.0",".",".",".","."
"","790
024","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
030","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","9",".",".","",".",".","",".","",".","",".","66.7",".",".",".","33.3",".",".",".","."
"Topics-Operations Research","823
001","5
3.900","80.0","20.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Topics-Organization Design","854
001","12
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Topics-Human Factors Engr","859
001","11
3.944","81.8","9.1","",".",".","",".","",".","",".","9.1",".",".",".",".",".",".",".","."
"","890
017","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
018","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
019","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
024","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
030","4",".",".","",".",".","",".","",".","",".","75.0",".",".",".","25.0",".",".",".","."
"","890
031","4",".",".","",".",".","",".","",".","",".","75.0",".",".",".","25.0",".",".",".","."
"","890
033","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
046","4",".",".","",".",".","",".","",".","",".","75.0","25.0",".",".",".",".",".",".","."
"","890
053","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","24",".",".","",".",".","",".","",".","",".","87.5","4.2",".",".","8.3",".",".",".","."
"","990
014","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
017","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
025","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
031","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
034","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
037","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
051","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
