"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"612
M E","","Grades","GPA","","","","","","","","","","","","","","","",""
"Spec Adv Topics-Mech Engr","964
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
007","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
010","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
013","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
014","2","",".",".",".",".",".",".",".",".",".",".",".","50.0",".","50.0",".","."
"","990
015","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
019","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
024","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
025","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
027","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
028","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
036","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
038","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
045","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
046","3","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990
047","2","",".",".",".",".",".",".",".",".","50.0",".",".","50.0",".",".",".","."
"","990
051","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
052","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
053","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Dissertator Research&Thesis","Course Total","33","",".",".",".",".",".",".",".","30.3","3.0",".",".","63.6",".","3.0",".","."
"","999
029","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
056","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Advanced Independent Study","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"612
M E","Dept. Total","2286","3.188","25.9","22.7","20.3","10.2","8.6","1.6","0.8","2.1","0.0",".",".","5.1","2.3","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.122","26.2","33.3","11.9","9.5","11.9",".","4.8",".",".",".",".",".","2.4",".",".","."
"Sophomore","","243","3.029","28.8","21.8","19.8","10.3","11.9","3.3","3.7",".",".",".",".",".","0.4",".",".","."
"Junior","","553","3.058","21.0","24.2","23.9","13.9","13.2","1.8","0.5","0.2",".",".",".",".","0.9","0.4",".","."
"Senior","","904","3.124","20.6","23.8","27.5","13.4","9.2","2.0","0.4","0.3",".",".",".","0.1","2.5","0.1",".","."
"Undergraduates","","1742","3.091","22.0","23.9","24.9","13.0","10.9","2.1","1.0","0.2",".",".",".","0.1","1.7","0.2",".","."
"Special","","42","3.222","23.8","19.0","9.5","9.5","4.8",".","2.4","7.1",".",".",".",".","23.8",".",".","."
"Graduate","","502","3.697","39.4","19.1","5.4","0.6","0.8",".",".","8.4","0.2",".",".","23.1","2.6","0.4",".","."
"","Dept. Total","2286","3.188","25.9","22.7","20.3","10.2","8.6","1.6","0.8","2.1","0.0",".",".","5.1","2.3","0.2",".","."
