"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"260
COMP LIT","","Grades","GPA","","","","","","","","","","","","","","","",""
"","201
001 308","23","3.717","73.9","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","201
001 307","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001 306","23","3.804","69.6","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Pre-Modern Literature","Course Total","67","3.799","74.6","20.9","1.5","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"","202
001 310","20","3.583","60.0",".","20.0","5.0","5.0",".",".",".",".",".",".",".","5.0","5.0",".","."
"","202
001 311","23","3.435","39.1","21.7","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001 314","22","3.786","59.1","31.8","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"","202
001 305","22","3.773","72.7","18.2","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","202
001 318","24","3.688","66.7","12.5","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","202
001 307","23","3.522","43.5","30.4","17.4","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Intro to Mod & Contemp Lit","Course Total","134","3.630","56.7","19.4","14.9","3.7","2.2","0.7",".",".",".",".",".",".","0.7","1.5",".","."
"","203
001 306","22","3.659","59.1","22.7","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
001 305","21","3.381","38.1","38.1","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","203
001 314","20","3.250","20.0","40.0","35.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","203
001 311","20","3.553","50.0","25.0","10.0",".","5.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"","203
001 310","17","3.176","23.5","41.2","11.8","17.6",".",".","5.9",".",".",".",".",".",".",".",".","."
"","203
001 309","22","3.455","22.7","45.5","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001 304","22","3.250","31.8","36.4","13.6","4.5","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"","203
001 301","20","3.450","35.0","35.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001 307","22","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","186","3.397","33.3","36.6","18.8","5.9","1.6","1.1","2.2",".",".",".",".",".","0.5",".",".","."
"Masterpcs of Lit-Honors I","287
001","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Masterpcs of Lit-Honors II","288
001","25","3.460","44.0","32.0","16.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","310
001","14","3.398","21.4","28.6","42.9",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","310
001 301","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Criticism","Course Total","21","3.438","28.6","33.3","28.6",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","368
001","17","3.316","11.8","47.1","29.4",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","368
001 301","4","3.000",".","50.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Literature and Ideas","Course Total","21","3.238","9.5","47.6","28.6",".","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"","375
001","16","3.188","37.5","12.5","37.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","375
001 301","4","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Lit & Related Disciplines","Course Total","20","3.350","45.0","10.0","30.0",".","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","377
001","17","3.791","52.9","23.5","5.9",".",".",".",".","5.9",".",".",".",".","11.8",".",".","."
"","377
001 301","5","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Literary Periods","Course Total","22","3.847","59.1","18.2","4.5",".",".",".",".","4.5",".",".",".",".","13.6",".",".","."
"","378
001 301","8","3.207","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","378
001","14","3.367","14.3","50.0","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Backgrounds","Course Total","22","3.304","18.2","40.9","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
015","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","682
009","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","691
015","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","691
09","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis","Course Total","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis","692
015","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
011","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Related Disciplines","775
001","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
