"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"310","001 308 6","","9","3.278","33.3","11.1","33.3","22.2",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 308 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 307 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 302 6","","1","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","3","3.167",".","33.3","66.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","3","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 303 6","","4","3.375","50.0","25.0",".",".","25.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 303 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 303 6","","4","3.375","50.0",".","25.0","25.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 306 6","","4","3.250","25.0",".","75.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 303 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 302 6","","5","3.100","20.0","20.0","40.0",".","20.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 302 6","","10","2.950","10.0",".","70.0","10.0","10.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 302 6","","2","2.250",".",".",".","50.0","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 302 6","","5","3.500","20.0","60.0","20.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 301 6","","2","2.500",".",".","50.0",".","50.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 301 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 303 6","","6","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","3","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 301 6","","6","2.750",".",".","50.0","50.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 309 6","","14","3.107","14.3","28.6","28.6","21.4",".","7.1",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 306 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","3","3.333","33.3",".","66.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","6","3.333","33.3","16.7","33.3","16.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","2","2.750",".",".","50.0","50.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","3","3.167",".","33.3","66.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 301 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 301 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 304 6","","6","3.083","16.7",".","66.7","16.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 301 6","","10","2.700","10.0",".","60.0","20.0",".",".","10.0","",".","",".",".","",".","",".","",".",".",".","."
"310","001 305 6","","4","2.750",".",".","50.0","50.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 313 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 311 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 311 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 311 6","","8","3.188","12.5","25.0","50.0","12.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 311 6","","5","2.900",".","40.0","20.0","20.0",".","20.0",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 311 6","","2","2.750",".",".","50.0","50.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 312 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 312 6","","5","2.900",".",".","80.0","20.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 312 6","","1","0.000",".",".",".",".",".",".","100.0","",".","",".",".","",".","",".","",".",".",".","."
"310","001 310 6","","3","3.500","33.3","33.3","33.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"310","001 313 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
