"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","19","3.211","31.6","21.1","15.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"","100
003","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","3.500","21.1","57.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","20","3.658","50.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","100
006","19","3.421","36.8","21.1","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","100
007","18","3.083","11.1","38.9","38.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","100
008","17","3.313","41.2","17.6","23.5","5.9",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"","100
009","17","3.706","64.7","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","18","2.706","33.3",".","5.6","11.1","38.9",".","5.6",".",".",".",".",".","5.6",".",".","."
"","100
011","19","3.579","31.6","52.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","18","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","17","3.265","23.5","23.5","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","19","3.139","31.6","10.5","31.6","15.8",".",".","5.3",".",".",".",".",".",".","5.3",".","."
"","100
017","17","3.059","23.5","23.5","11.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".","."
"","100
018","20","3.350","50.0","15.0","15.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","100
019","20","3.375","30.0","40.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
020","17","3.265","11.8","47.1","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
021","19","3.421","26.3","36.8","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","18","2.722","11.1","16.7","27.8","16.7","22.2",".","5.6",".",".",".",".",".",".",".",".","."
"","100
024","18","3.556","61.1","5.6","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","19","3.526","42.1","36.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
026","18","3.444","27.8","44.4","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","20","3.275","25.0","25.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
029","18","3.417","16.7","55.6","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","23","3.826","78.3","17.4",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","100
032","19","3.474","21.1","57.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
033","19","3.316","15.8","36.8","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","18","3.333","11.1","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","19","3.500","52.6","10.5","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
036","18","3.306","22.2","38.9","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
037","19","3.474","26.3","57.9",".","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
038","17","3.412","29.4","41.2","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","100
039","18","3.000","22.2","22.2","27.8","11.1",".","11.1","5.6",".",".",".",".",".",".",".",".","."
"","100
040","18","3.361","27.8","50.0","16.7",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","100
041","19","3.417","26.3","31.6","31.6","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","100
042","17","2.706",".","11.8","23.5","58.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
043","19","3.342","21.1","42.1","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
044","19","3.316","26.3","42.1","26.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","100
045","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","19","3.395","47.4","21.1","21.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","100
047","20","3.075","25.0","30.0","15.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","100
048","18","3.194",".","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","20","3.225","20.0","30.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
050","20","3.921","90.0",".",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Freshman Composition","Course Total","875","3.374","32.3","33.1","20.2","8.7","3.2","0.5","1.3",".",".",".",".",".","0.5","0.2",".","."
"","110
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
