"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","N","NR","Other"
"380
FOLKLORE","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","100
001 303","13","3.538","23.1","69.2",".","7.7",".",".",".",".",".",".","",".","",".",".",".",".","."
"","100
001 302","14","3.038","14.3","21.4","35.7",".","7.1","14.3",".",".",".",".","",".","",".","7.1",".",".","."
"","100
001 301","11","3.227","45.5","27.3","9.1",".","9.1",".","9.1",".",".",".","",".","",".",".",".",".","."
"","100
001 304","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Section Total","50","3.388","34.0","38.0","14.0","2.0","4.0","4.0","2.0",".",".",".","",".","",".","2.0",".",".","."
"","100
002","37","3.324","18.9","43.2","24.3","10.8","2.7",".",".",".",".",".","",".","",".",".",".",".","."
"Introduction to Folklore","Course Total","87","3.360","27.6","40.2","18.4","5.7","3.4","2.3","1.1",".",".",".","",".","",".","1.1",".",".","."
"","103
001 301","12","3.042","16.7","8.3","50.0","16.7","8.3",".",".",".",".",".","",".","",".",".",".",".","."
"","103
001 302","7","2.643",".","14.3","42.9",".","14.3","28.6",".",".",".",".","",".","",".",".",".",".","."
"","103
001 303","10","2.438","10.0","10.0","10.0","20.0","20.0",".","10.0","20.0",".",".","",".","",".",".",".",".","."
"Intro-Mus Cult of the World","Course Total","29","2.759","10.3","10.3","34.5","13.8","13.8","6.9","3.4","6.9",".",".","",".","",".",".",".",".","."
"The African Storyteller","210
001","88","2.551","12.5","5.7","21.6","22.7","23.9","8.0","5.7",".",".",".","",".","",".",".",".",".","."
"Heroes, Rogues & Scoundrels","237
001","5","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Folklore of Wisconsin","320
001","48","3.523","31.3","33.3","22.9","2.1",".",".",".","6.3",".",".","",".","",".","4.2",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","24","3.269","12.5","37.5","25.0","8.3","4.2",".",".",".","4.2",".","",".","",".","8.3",".",".","."
"Kalevala&Finn Folklr-Transl","347
001","10","3.889","60.0","20.0",".",".",".",".",".",".",".",".","",".","",".",".","20.0",".","."
"Javanese Performance","353
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Indian Folklore","394
001","17","3.353","17.6","35.3","47.1",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
010","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"African Poetry","411
001","11","3.288","27.3","36.4","18.2",".","18.2",".",".",".",".",".","",".","",".",".",".",".","."
"American Indian Folklore","431
001","3","2.333",".","66.7",".",".",".",".","33.3",".",".",".","",".","",".",".",".",".","."
"The Ballad","450
001","10","2.950","10.0","30.0","20.0","20.0","20.0",".",".",".",".",".","",".","",".",".",".",".","."
"Folk Epics","460
001","21","2.952","38.1","9.5","14.3",".","28.6","4.8","4.8",".",".",".","",".","",".",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Comparative World Costume","655
001","10","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
010","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"380
FOLKLORE","Dept. Total","387","3.155","27.4","23.5","20.9","9.3","10.1","3.1","2.3","1.3","0.3",".","",".","",".","1.3","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.253","33.3","24.2","21.2","6.1","6.1","6.1","3.0",".",".",".","",".","",".",".",".",".","."
"Sophomore","","81","3.064","19.8","28.4","21.0","13.6","9.9","3.7","2.5",".",".",".","",".","",".","1.2",".",".","."
"Junior","","123","3.032","19.5","21.1","27.6","11.4","12.2","3.3","2.4","0.8",".",".","",".","",".","1.6",".",".","."
"Senior","","137","3.230","31.4","24.8","16.8","6.6","10.2","2.2","2.2","2.2","0.7",".","",".","",".","1.5","1.5",".","."
"Undergraduates","","374","3.129","25.1","24.3","21.7","9.6","10.4","3.2","2.4","1.1","0.3",".","",".","",".","1.3","0.5",".","."
"Special","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Graduate","","10","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","387","3.155","27.4","23.5","20.9","9.3","10.1","3.1","2.3","1.3","0.3",".","",".","",".","1.3","0.5",".","."
