"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN)","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"400
FRENCH","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"French-Reading Knowledge","391
001","","16","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","432
001","","5","3.300","20.0","40.0","20.0","20.0","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","432
001 301","","2","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"French Lit-19th Century","Course Total","","7","3.370","14.3","57.1","14.3","14.3","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","449
001","","8","3.820","75.0","12.5","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","449
001 301","","7","3.786","57.1","42.9",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Questions de Civ Francaise","Course Total","","15","3.802","66.7","26.7","6.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","462
001 301","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","462
001","","7","3.841","71.4","28.6",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Topics in French Literature","Course Total","","8","3.712","62.5","25.0","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Tech d Exprssn Ecrit&Oral I","523
001","","16","3.533","50.0","12.5","18.8","12.5","",".","",".","",".","6.3",".",".",".",".","",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","532
001","","11","3.773","63.6","27.3","9.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"French Phonetics","590
001","","16","3.563","50.0","31.3","6.3","6.3","","6.3","",".","",".",".",".",".",".",".","",".",".",".","."
"Crit Approach to French Lit","626
001","","6","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Le Roman Au XVIIIe Siecle","633
001","","14","3.800","42.9","28.6",".",".","",".","",".","",".","28.6",".",".",".",".","",".",".",".","."
"Lit Francaise-XVIe Siecle","646
001","","9","3.611","33.3","55.6","11.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Poesie Francaise 19 et 20 S","658
001","","11","3.722","36.4","45.5",".",".","",".","",".","",".","9.1",".",".",".",".","","9.1",".",".","."
"","699
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
004","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
021","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Directed Study","Course Total","","3","3.563","33.3","33.3","33.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","799
018","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","799
024","","13","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"College Teaching of French","820
001 301","","5","3.900","80.0","20.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr: Questions-Litterature","947
001","","13","3.875","46.2","15.4",".",".","",".","",".","",".","38.5",".",".",".",".","",".",".",".","."
"","990
001","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
004","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
008","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
016","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
018","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
019","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
020","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
023","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
026","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Individual Research","Course Total","","15","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
