"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"JOURN","","","","","","","","","","","","","","","","","","",""
"Freshmen","17","3.313","29.4","29.4","29.4",".","11.8",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","345","3.536","40.6","29.3","26.1","1.7","0.9","0.3",".",".",".",".","",".",".","0.9","0.3",".","."
"Junior","394","3.338","24.4","34.5","27.9","6.9","4.1","0.8","0.3",".",".","0.5","",".",".","0.5","0.3",".","."
"Senior","431","3.377","25.5","37.1","22.3","6.3","2.8","1.2","0.5","0.9",".","2.6","",".",".","0.5","0.5",".","."
"Undergraduates","1187","3.408","29.6","33.9","25.4","5.1","2.8","0.8","0.3","0.3",".","1.1","",".",".","0.6","0.3",".","."
"Special","9","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","166","3.725","44.6","14.5","4.8","1.8","0.6","0.6",".","11.4","0.6","12.0","",".","4.2","4.8",".",".","."
"Prof Yr 2","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","2","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
