"L&S","","","","","","","","","","","","","","","","","","","",""
"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"524
LATIN","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","103
001 301","18","3.176","33.3","27.8","5.6","16.7",".","5.6","5.6","5.6",".",".",".",".","",".",".",".","."
"","103
001 303","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","103
001 305","15","3.654","46.7","33.3",".",".",".","6.7",".","13.3",".",".",".",".","",".",".",".","."
"Elementary Latin","Course Total","52","3.510","48.1","25.0","9.6","5.8",".","3.8","1.9","5.8",".",".",".",".","",".",".",".","."
"","203
001","19","3.306","42.1","10.5","15.8","15.8","10.5",".",".","5.3",".",".",".",".","",".",".",".","."
"","203
002","14","3.214","57.1","7.1","7.1","7.1","7.1","7.1","7.1",".",".",".",".",".","",".",".",".","."
"","203
003","12","3.091","33.3","16.7","16.7","16.7",".",".","8.3","8.3",".",".",".",".","",".",".",".","."
"Intermediate Latin","Course Total","45","3.221","44.4","11.1","13.3","13.3","6.7","2.2","4.4","4.4",".",".",".",".","",".",".",".","."
"Latin Lit of Roman Republic","301
001","21","3.357","33.3","28.6","23.8","4.8","9.5",".",".",".",".",".",".",".","",".",".",".","."
"Lucretius","510
001","13","3.591","53.8","15.4",".","7.7","7.7",".",".","15.4",".",".",".",".","",".",".",".","."
"Mediaeval Latin","563
001","10","3.550","70.0","10.0",".",".","10.0","10.0",".",".",".",".",".",".","",".",".",".","."
"","699
004","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"","699
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Directed Study","Course Total","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".","",".",".",".","."
"Graduate Survey","801
002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","890
004","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"","890
011","1","",".",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".","."
"Individual Research Thesis","Course Total","2","",".",".",".",".",".",".",".","50.0","50.0",".",".",".","",".",".",".","."
"524
LATIN","Dept. Total","157","3.433","49.0","18.5","10.2","7.0","4.5","2.5","1.9","5.7","0.6",".",".",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.619","57.1","19.0","19.0",".",".","4.8",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","24","3.244","25.0","41.7","8.3","16.7",".",".","4.2","4.2",".",".",".",".","",".",".",".","."
"Junior","","36","3.152","38.9","16.7","16.7","11.1","8.3",".","5.6","2.8",".",".",".",".","",".",".",".","."
"Senior","","41","3.402","51.2","12.2","7.3","7.3","9.8","7.3",".","4.9",".",".",".",".","",".",".",".","."
"Undergraduates","","122","3.340","43.4","20.5","12.3","9.0","5.7","3.3","2.5","3.3",".",".",".",".","",".",".",".","."
"Special","","6","3.545","16.7","16.7","16.7",".",".",".",".","50.0",".",".",".",".","",".",".",".","."
"Graduate","","29","3.942","79.3","10.3",".",".",".",".",".","6.9","3.4",".",".",".","",".",".",".","."
"","Dept. Total","157","3.433","49.0","18.5","10.2","7.0","4.5","2.5","1.9","5.7","0.6",".",".",".","",".",".",".","."
