"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"754
PHYSICS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","103
002 307 6","8","2.750","12.5","12.5","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","103
002 308 6","8","3.063","12.5","50.0",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","103
002 309 6","14","3.000","21.4","21.4","7.1","21.4","21.4",".",".",".",".",".",".",".","7.1",".",".","."
"","103
002 310 6","8","2.750",".","37.5","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"","103
002 311 6","14","2.500","7.1","7.1","14.3","21.4","42.9","7.1",".",".",".",".",".",".",".",".",".","."
"","103
002 312 6","4","2.750","25.0",".",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".","."
"","103
002 313 6","11","2.455",".","9.1","9.1","45.5","36.4",".",".",".",".",".",".",".",".",".",".","."
"","103
002 314 6","9","3.333","33.3","44.4",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","103
002 315 6","14","2.179",".","14.3","7.1","7.1","28.6","35.7","7.1",".",".",".",".",".",".",".",".","."
"","103
002 302 6","13","2.654","7.7","15.4","7.7","38.5","30.8",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","282","2.756","13.1","18.4","11.0","22.7","28.0","5.0","0.7",".",".",".",".",".","0.7","0.4",".","."
"General Physics","Course Total","604","2.862","17.9","18.9","13.6","17.7","27.0","3.6","0.5",".",".",".",".",".","0.7","0.2",".","."
"","104
001 314 6","13","3.269","15.4","23.1","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 301 6","18","3.083","11.1","38.9","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","104
001 302 6","17","2.735","5.9","17.6","35.3","23.5",".","11.8","5.9",".",".",".",".",".",".",".",".","."
"","104
001 303 6","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 304 6","13","3.231","23.1","23.1","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 305 6","22","3.119","13.6","27.3","27.3","22.7",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","104
001 313 6","8","3.063","25.0","12.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".","."
"","104
001 309 6","13","3.000","30.8","7.7","23.1","7.7","30.8",".",".",".",".",".",".",".",".",".",".","."
"","104
001 310 6","12","3.083","25.0","16.7","25.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","104
001 307 6","17","3.118","29.4","11.8","29.4","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","104
001 312 6","9","3.000",".","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","104
001 306 6","19","3.056","21.1","26.3","26.3","5.3","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"","104
001 308 6","15","3.071","6.7","26.7","40.0","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"General Physics","Course Total","182","3.084","18.1","23.1","30.8","14.3","7.7","3.3","1.1","1.6",".",".",".",".",".",".",".","."
"","107
001 302","29","2.981","20.7",".","41.4","10.3","10.3","6.9",".","6.9",".",".",".",".","3.4",".",".","."
"","107
001 303","21","2.857","14.3","14.3","38.1","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","107
001 304","22","3.273","36.4","4.5","45.5","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","107
001 306","20","2.925","20.0","10.0","25.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","107
001 307","18","3.139","16.7","11.1","61.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","107
001 305","22","3.136","18.2","13.6","54.5","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
