"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"754
PHYSICS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","109
002 306","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","66","3.598","54.5","22.7","13.6","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","173","3.171","38.2","15.6","14.5","12.7","12.1","5.2","1.7",".",".",".",".",".",".",".",".","."
"Energy","115
001","19","3.361","15.8","36.8","42.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Directed Study","199
008","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001 301 6","14","2.857","21.4","14.3","28.6","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","201
001 302 6","21","2.857","9.5","19.0","19.0","38.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","201
001 305 6","11","2.864","9.1","18.2","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"","201
001 309 6","21","2.976","14.3","28.6","23.8","23.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","201
001 306 6","17","2.618","5.9",".","23.5","52.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","201
001 310 6","19","3.105","31.6","21.1","10.5","10.5","26.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","103","2.888","15.5","17.5","21.4","28.2","14.6","1.0","1.9",".",".",".",".",".",".",".",".","."
"","201
002 321 6","18","2.722",".","16.7","27.8","38.9","16.7",".",".",".",".",".",".",".",".",".",".","."
"","201
002 316 6","21","2.952","9.5","19.0","38.1","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"","201
002 314 6","21","2.738","9.5","4.8","38.1","19.0","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"","201
002 315 6","23","2.881","13.0","8.7","30.4","21.7","17.4",".",".",".",".",".",".",".","8.7",".",".","."
"","201
002 322 6","21","3.125","23.8","9.5","33.3","23.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","201
002 317 6","11","2.591",".","18.2","45.5","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","201
002 318 6","24","2.854","16.7","12.5","20.8","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","201
002 320 6","16","2.867","18.8","12.5","12.5","25.0","25.0",".",".",".",".",".",".",".","6.3",".",".","."
"","Section Total","155","2.858","12.3","12.3","30.3","23.2","18.1","0.6","0.6",".",".",".",".",".","2.6",".",".","."
"General Physics","Course Total","258","2.870","13.6","14.3","26.7","25.2","16.7","0.8","1.2",".",".",".",".",".","1.6",".",".","."
"","202
001 303 6","24","3.063","25.0","20.8","16.7","16.7","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","202
001 310 6","23","3.065","17.4","17.4","34.8","21.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","202
001 304 6","24","2.958","16.7","16.7","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","202
001 305 6","23","2.717","4.3","17.4","30.4","13.0","30.4","4.3",".",".",".",".",".",".",".",".",".","."
"","202
001 302 6","24","2.792","16.7","4.2","29.2","20.8","25.0","4.2",".",".",".",".",".",".",".",".",".","."
"","202
001 309 6","23","2.978","21.7","21.7","17.4","8.7","26.1","4.3",".",".",".",".",".",".",".",".",".","."
"","202
001 306 6","23","3.152","26.1","17.4","30.4","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"","202
001 301 6","23","3.022","13.0","30.4","17.4","26.1","13.0",".",".",".",".",".",".",".",".",".",".","."
"","202
001 307 6","22","3.136","22.7","22.7","22.7","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","202
001 311 6","21","2.929","9.5","14.3","42.9","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","230","2.980","17.4","18.3","26.5","18.7","17.0","2.2",".",".",".",".",".",".",".",".",".","."
"","202
002 325 6","22","3.159","27.3","22.7","13.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","202
002 316 6","23","2.978","13.0","26.1","26.1","13.0","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"","202
002 317 6","23","3.239","21.7","39.1","13.0","17.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"","202
002 326 6","24","2.875","8.3","16.7","33.3","25.0","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"","202
002 323 6","24","3.188","29.2","16.7","29.2","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","202
002 324 6","22","2.977","13.6","18.2","31.8","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","202
002 321 6","23","3.065","17.4","21.7","30.4","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"","202
002 319 6","24","2.875","12.5","20.8","25.0","12.5","29.2",".",".",".",".",".",".",".",".",".",".","."
"","202
002 320 6","23","2.935","4.3","26.1","30.4","30.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"","202
002 318 6","23","2.913","4.3","30.4","30.4","13.0","21.7",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","231","3.019","15.2","23.8","26.4","19.0","13.0","2.6",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","461","3.000","16.3","21.0","26.5","18.9","15.0","2.4",".",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001 301","34","2.868","14.7","8.8","38.2","11.8","26.5",".",".",".",".",".",".",".",".",".",".","."
"","207
001 310 6","19","3.105","21.1","5.3","52.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","207
001 302 6","20","2.895","5.0","10.0","55.0","10.0","15.0",".",".",".",".",".",".",".","5.0",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 307 of 441",""
