"NUTRITIONAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"694
NUTR SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"","991
054","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
059","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research Nutrition","Course Total","36","",".",".",".",".",".",".",".","47.2",".",".",".","52.8",".",".",".","."
"","993
004","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","993
010","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Independent Study-Nutrition","Course Total","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"694
NUTR SCI","Dept. Total","1174","2.820","13.1","16.0","20.4","10.1","22.8","3.1","1.3","4.1","0.1","6.7",".","1.8","0.2",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","321","2.680","10.0","13.1","21.8","11.5","29.9","6.2","1.6",".",".","5.6",".",".","0.3",".",".","."
"Sophomore","","270","2.739","11.5","15.6","19.3","12.6","29.3","2.2","1.9",".",".","7.8",".",".",".",".",".","."
"Junior","","195","2.736","9.2","12.8","25.1","10.8","26.7","3.6","1.0",".",".","10.8",".",".",".",".",".","."
"Senior","","232","2.967","13.8","19.8","23.3","9.9","17.7","1.3","1.3","2.6","0.4","8.2",".","0.4","0.4",".","0.9","."
"Undergraduates","","1018","2.772","11.1","15.2","22.1","11.3","26.3","3.5","1.5","0.6","0.1","7.8",".","0.1","0.2",".","0.2","."
"Special","","13","3.583","23.1","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".","15.4","."
"Graduate","","120","3.657","25.0","16.7","5.8","0.8",".",".",".","35.0",".",".",".","16.7",".",".",".","."
"Prof Yr 1","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","2","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","11","3.676","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","23","3.500","34.8","39.1","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1174","2.820","13.1","16.0","20.4","10.1","22.8","3.1","1.3","4.1","0.1","6.7",".","1.8","0.2",".","0.3","."
