"RELIGIOUS STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"856
RELIG ST","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","205
001 301","","5","3.237","20.0","20.0","40.0","20.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","205
001 302","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","Course Total","","6","3.283","16.7","33.3","33.3","16.7",".","",".",".",".",".",".",".",".",".",".",".","."
"","211
001 302","","9","3.063","22.2","33.3","22.2",".",".","",".","11.1","11.1",".",".",".",".",".",".",".","."
"","211
001 301","","6","3.667","50.0","33.3","16.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","211
001 306","","10","3.700","60.0","20.0","20.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","211
001 303","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","211
001 305","","9","3.111","11.1","22.2","55.6",".","11.1","",".",".",".",".",".",".",".",".",".",".","."
"","211
001 304","","7","3.571","42.9","28.6","28.6",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","Course Total","","43","3.429","37.2","27.9","27.9",".","2.3","",".","2.3","2.3",".",".",".",".",".",".",".","."
"","227
001 302","","13","3.423","30.8","46.2","7.7","7.7","7.7","",".",".",".",".",".",".",".",".",".",".","."
"","227
001 305","","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","227
001 301","","12","3.350","50.0","8.3","16.7",".",".","",".","8.3","8.3",".",".",".",".","8.3",".",".","."
"","227
001 303","","18","3.639","50.0","33.3","11.1","5.6",".","",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","Course Total","","50","3.573","52.0","26.0","10.0","4.0","2.0","",".","2.0","2.0",".",".",".",".","2.0",".",".","."
"Biblical Poetry in Translation","237
001","","26","3.096","11.5","34.6","23.1","23.1","7.7","",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","","56","3.255","19.6","32.1","30.4","10.7","5.4","",".",".","1.8",".",".",".",".",".",".",".","."
"","309
001 304","","7","3.417","42.9","28.6","14.3",".","14.3","",".",".",".",".",".",".",".",".",".",".","."
"","309
001 302","","5","3.393","20.0","20.0","40.0",".",".","",".",".",".",".",".",".",".",".","20.0",".","."
"","309
001 301","","5","3.500","20.0","60.0","20.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","309
001 303","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","Course Total","","20","3.523","40.0","30.0","20.0",".","5.0","",".",".",".",".",".",".",".",".","5.0",".","."
"Christian Lit:Matthew-Revelatn","333
001","","58","3.170","37.9","15.5","15.5","10.3","6.9","","6.9","3.4","1.7",".",".",".",".","1.7",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","","6","3.658","50.0","33.3","16.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343
001","","5","3.375","40.0",".","20.0","20.0",".","",".",".","20.0",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360
001","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364
001","","233","3.065","7.7","33.0","38.2","9.4","3.9","","0.4","3.0","3.9",".",".",".",".","0.4",".",".","."
"Islam: Religion and Culture","370
001 301","","59","3.196","37.3","16.9","20.3","6.8","5.1","","3.4","5.1","3.4","1.7",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372
001","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
001","","5","3.400","20.0","40.0","40.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Soc Studies","401
001","","32","3.271","31.3","28.1","25.0","3.1","6.3","",".","3.1",".",".",".",".",".","3.1",".",".","."
"Intro to South Asian Religions","416
001","","22","3.273","13.6","31.8","50.0","4.5",".","",".",".",".",".",".",".",".",".",".",".","."
"Educ & Jewish Civilization","475
001","","15","3.467","33.3","33.3","26.7","6.7",".","",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600
001","","19","2.971","10.5","10.5","36.8","26.3",".","","5.3",".",".",".",".",".",".","10.5",".",".","."
"Studies-S Asian Religions","620
001","","1","2.500",".",".",".","100.0",".","",".",".",".",".",".",".",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622
001","","6","3.739","66.7","16.7","16.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Research Colloquium for Majors","695
001","","4","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","697
001","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","697
02","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Research for Major","Course Total","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
15","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
