"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"900
SOC","","Grades","GPA","","","","","","","","","","","","","","","",""
"","134
001 305","21","3.375","23.8","23.8","47.6",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","134
001 304","23","3.435","34.8","26.1","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 303","19","3.306","15.8","36.8","36.8",".",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"","134
001 302","19","3.306","21.1","21.1","47.4","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","134
001 301","18","3.794","77.8",".","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","134
001 317","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","397","3.403","31.5","27.5","28.7","7.8","1.8","0.3",".","0.5",".",".",".",".","2.0",".",".","."
"","134
002","89","3.134","22.5","23.6","29.2","9.0","7.9","2.2","2.2","2.2",".",".",".",".","1.1",".",".","."
"","134
003","99","3.634","48.5","27.3","15.2","1.0","2.0",".",".","6.1",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","585","3.401","33.0","26.8","26.5","6.8","2.7","0.5","0.3","1.7",".",".",".",".","1.5",".",".","."
"","138
001 301","17","3.531","41.2","29.4","11.8","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"","138
001 304","19","3.158","15.8","10.5","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","138
001 305","19","3.158","21.1","21.1","31.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","138
001 302","17","3.059","11.8","23.5","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","138
001 303","18","3.111","16.7","16.7","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","90","3.197","21.1","20.0","37.8","16.7","3.3",".",".","1.1",".",".",".",".",".",".",".","."
"","138
004","20","3.475","30.0","40.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","110","3.237","22.7","23.6","35.5","14.5","2.7",".",".","0.9",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","35","2.500","17.1","2.9","20.0","5.7","48.6",".","5.7",".",".",".",".",".",".",".",".","."
"","160
001 317","7","2.857",".","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","160
001 316","6","3.083","33.3","16.7","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","160
001 307","11","3.227","45.5","9.1",".","36.4","9.1",".",".",".",".",".",".",".",".",".",".","."
"","160
001 315","8","2.813","12.5",".","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 306","12","3.083","8.3","33.3","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","160
001 304","9","3.278","44.4","22.2",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","160
001 319","11","3.350","27.3","27.3","27.3",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","160
001 303","11","2.773","9.1","18.2","45.5","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","160
001 302","13","3.231","23.1","38.5","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","160
001 301","18","3.333","38.9","5.6","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 312","5","3.600","80.0",".",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 313","5","3.300","40.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 305","9","3.056","33.3","11.1","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","160
001 318","14","2.857","14.3","28.6","21.4","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".","."
