"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"233
FINANCE","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Security Analysis","635
001 301","30","3.463","40.0","23.3","23.3",".",".","",".","","3.3","10.0",".",".",".",".",".",".",".","."
"","700
001","35","3.471","37.1","28.6","28.6","2.9","2.9","",".","",".",".",".",".",".",".",".",".",".","."
"","700
002","43","3.547","41.9","37.2","14.0","2.3","4.7","",".","",".",".",".",".",".",".",".",".",".","."
"","700
030","38","3.487","28.9","44.7","21.1","5.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","116","3.504","36.2","37.1","20.7","3.4","2.6","",".","",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","26","3.673","50.0","34.6","15.4",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","24","3.563","37.5","37.5","25.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","56","3.611","42.9","32.1","21.4",".",".","",".","",".",".",".",".",".",".","3.6",".",".","."
"Corporatn Finance Thry&Prac","725
002","47","3.380","31.9","10.6","55.3",".",".","",".","",".",".",".",".",".",".",".","2.1",".","."
"Market for Corporate Contrl","750
001","33","3.719","57.6","24.2","15.2",".",".","",".","",".","3.0",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","13","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
032","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
046","5","3.500","40.0","20.0","40.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","6","3.500","33.3","33.3","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","6","3.667","33.3","66.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","9","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Finance Theory","921
001","9","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","12","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","973
001 301","4","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","973
001","3","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","Course Total","7","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
046","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"233
FINANCE","Dept. Total","1094","3.290","29.3","21.6","29.1","8.0","7.4","","0.5","","0.1","1.6",".",".",".","0.8","1.1","0.2","0.2","."
