"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"FINANCE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.250","50.0",".",".","50.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","271","3.156","23.2","15.9","38.0","13.7","8.5","0.4",".",".","",".",".","",".",".",".","0.4",".","."
"Senior","380","3.086","19.7","20.3","30.8","11.3","13.9","1.1","0.3","2.1","",".",".","",".",".",".",".","0.5","."
"Undergraduates","653","3.116","21.3","18.4","33.7","12.4","11.6","0.8","0.2","1.2","",".",".","",".",".",".","0.2","0.3","."
"Special","75","3.438","34.7","24.0","30.7","4.0","2.7",".",".","2.7","",".",".","",".",".","1.3",".",".","."
"Graduate","361","3.595","42.9","26.6","20.5","0.8","0.8","0.3",".","2.2","",".",".","",".","2.5","3.0","0.3",".","."
"Prof Yr 3","5","3.300","20.0","40.0","20.0","20.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","5","3.300","20.0","40.0","20.0","20.0",".",".",".",".","",".",".","",".",".",".",".",".","."
