"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","73","3.941","87.7","11.0","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Soc Perspect-Sci & Technlgy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Research Methods-Sociology","001","","31","3.783","54.8","41.9",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"752
Measurement&Questionnaires","001","","11","3.778","54.5","18.2","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"754
Qual Research Methods-Sociol","001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Smr: Topics in Current Soc","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Teaching Sociology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"922
Smr-Race & Ethnic Relations","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"952
Math&Stat Applications-Soc","001","","20","3.737","55.0","30.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"971
Smr:Topics-Demography&Ecol","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"983
Rsch:Economic Sociology Wrkshp","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"984
Rsch:Smr-Sociol of Gender","001","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".","12.5",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","055","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 296 of 397",""
