"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","437","2.701","14.4","8.7","32.3","13.0","22.2","8.2","1.1",".",".",".",".",".",".",".",".","."
"","101
002","428","2.665","15.0","6.3","30.4","14.5","22.9","9.6","0.7","0.2",".",".",".",".",".",".","0.2","0.2"
"Animal Biology","Course Total","865","2.683","14.7","7.5","31.3","13.8","22.5","8.9","0.9","0.1",".",".",".",".",".",".","0.1","0.1"
"","102
001","23","3.348","39.1","17.4","30.4",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","27","3.741","63.0","22.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","27","3.556","40.7","29.6","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","26","3.635","50.0","26.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","25","3.520","56.0","16.0","24.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","102
007","27","3.796","70.4","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","26","3.692","65.4","23.1","7.7",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"","102
009","28","3.375","35.7","32.1","25.0",".","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","102
010","27","3.444","29.6","44.4","18.5",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"","011
102","28","3.339","17.9","57.1","17.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"","102
012","28","3.446","32.1","35.7","25.0","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","102
013","24","3.479","45.8","16.7","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","014
102","28","3.911","89.3","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","28","3.839","78.6","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","27","3.778","70.4","18.5","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
102","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","27","3.704","66.7","14.8","14.8",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","020
102","28","3.536","42.9","32.1","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","021
102","28","3.554","42.9","28.6","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
022","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","023
102","27","3.574","51.9","29.6","7.4","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"","102
024","25","3.320","12.0","48.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","637","3.633","55.4","24.3","16.3","1.4","1.9","0.2","0.5",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","001
133","31","3.000","32.3","9.7","35.5","3.2","9.7","3.2","6.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","187","2.704","13.4","9.6","36.4","9.6","19.8","9.1","1.6",".",".",".",".",".",".",".","0.5","."
"","152
001","166","3.169","30.7","13.3","37.3","1.2","15.1","2.4",".",".",".",".",".",".",".",".",".","."
"","002
152","163","3.218","28.2","11.0","46.6","6.7","6.1","1.2",".",".",".",".",".",".",".",".",".","."
"","003
152","162","3.380","40.7","16.0","32.1","3.1","6.8","1.2",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","491","3.255","33.2","13.4","38.7","3.7","9.4","1.6",".",".",".",".",".",".",".",".",".","."
"Biology and Society","220
001","27","3.556","59.3","18.5","14.8","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","84","2.938","25.0","13.1","20.2","6.0","28.6","1.2","1.2",".",".",".",".",".",".",".","4.8","."
"Introduction to Entomology","001
302","21","3.286","33.3","23.8","23.8","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","123","2.971","22.0","9.8","38.2","4.1","21.1","3.3",".",".",".",".",".",".",".",".","1.6","."
"Parasitology","350
001","104","2.617","12.5","9.6","32.7","2.9","32.7","4.8","3.8","1.0",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","21","2.976","19.0","19.0","28.6","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Honors Proseminar","380
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","400
001","74","3.507","43.2","28.4","20.3","4.1","1.4",".","1.4","1.4",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","166","2.340","7.8","8.4","15.1","18.7","33.1","10.8","4.2","1.2",".",".",".",".",".",".",".","0.6"
"General Ecology","460
001","39","2.872","17.9","10.3","43.6","5.1","15.4","5.1","2.6",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 315 of 397",""
