"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Game Theory & Economic Anal","521","001","","33","3.375","30.3","24.2","30.3","12.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"Law and Economics","522","001","","44","3.432","25.0","40.9","29.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Population and Society","663","001","","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","","41","3.178","9.8","36.6","34.1","12.2","4.9",".",".","2.4",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","","49","3.207","10.2","28.6","51.0","8.2",".",".",".",".",".",".",".",".","2.0",".",".","."
"","711","001","","34","3.015","20.6","8.8","38.2","11.8","17.6",".",".",".",".",".",".",".",".",".","2.9","."
"","711","002","","25","2.938","12.0","24.0","32.0","12.0","12.0",".","4.0",".",".",".",".",".","4.0",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","59","2.982","16.9","15.3","35.6","11.9","15.3",".","1.7",".",".",".",".",".","1.7",".","1.7","."
"","712","001","","26","3.192","23.1","15.4","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","712","002","","18","3.389","33.3","22.2","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","44","3.273","27.3","18.2","43.2","4.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 3","719","001","","14","3.333","14.3","28.6","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","","10","3.050",".","10.0","90.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","","9","3.222","33.3","44.4","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Smr-Economic Development","879","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","24","3.324","41.7","16.7","16.7","20.8",".",".","4.2",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Work","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
