"L&S","","","","","","","","","","","","","","","","","","","",""
"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","433","3.523","33.5","42.7","18.5","3.5","1.2",".",".",".",".",".",".",".","0.2","0.2","0.2","."
"Mass Communication Practices","202","001","99","3.354","18.2","35.4","45.5","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","335","001","15","3.000","6.7","20.0","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","335","002","16","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","15","3.267","20.0","33.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","46","3.239","13.0","39.1","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","345","001","41","3.671","51.2","34.1","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","26","3.596","34.6","50.0","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","","Course Total","67","3.642","44.8","40.3","13.4","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","002","14","3.808","57.1","35.7",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"In-Depth Reporting","","Course Total","19","3.806","57.9","36.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Interpatn Contemp Affairs","404","001","17","3.235","23.5","23.5","47.1",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415","001","16","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417","001","21","3.619","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445","001","35","3.543","25.7","57.1","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449","001","29","3.810","62.1","37.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Public, Community&Alt Media","558","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","118","2.803","11.0","17.8","29.7","16.9","13.6","5.9","1.7","3.4",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","87","3.276","16.1","32.2","43.7","6.9","1.1",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","24","3.479","29.2","37.5","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","21","3.095","33.3","19.0","28.6",".","4.8","14.3",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646","001","114","3.304","14.0","49.1","25.4","5.3","2.6","1.8",".","1.8",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","27","3.704","51.9","37.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662","001","16","3.406","25.0","50.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","676","006","30","3.717","56.7","33.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","005","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","094","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
