"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"637
Functional Neuroanatomy","001","","56","3.036","23.2","12.5","32.1","19.6","8.9","3.6",".",".",".",".",".",".",".",".",".","."
"675
Topics in Anatomy","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"710
Histology and Organology","001","","146","3.685","63.7","13.7","18.5","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"711
Gross Human Anatomy","001","","124","3.512","42.7","25.0","25.0","6.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","69.2",".",".",".","30.8",".",".",".","."
