"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"625
Vet Diag&Therapeut Techniq","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Companion Animal&Equine Med I","001","","73","3.027","6.8","19.2","57.5","5.5","11.0",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","75","2.947","5.3","12.0","60.0","12.0","10.7",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","18","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","16","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","27","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","46","4.000","6.5",".",".",".",".",".",".","93.5",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","33","4.000","57.6",".",".",".",".",".",".","42.4",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","28","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"675","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","33","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"675","005","","44","",".",".",".",".",".",".",".","95.5",".",".",".",".",".",".","4.5","."
"675","006","","79","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"675","015","","77","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"675","024","","11","4.000","36.4",".",".",".",".",".",".","54.5",".",".",".",".","9.1",".",".","."
"675","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","258","4.000","7.0",".",".",".",".",".",".","31.4",".",".",".","60.5","0.4",".","0.8","."
"676
Sr Rotation:Swine Medicine","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"678","001","","44","3.833","38.6",".",".",".",".","2.3",".","59.1",".",".",".",".",".",".",".","."
"678","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","45","3.842","40.0",".",".",".",".","2.2",".","57.8",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","10","4.000","10.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".","10.0","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
