"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
008","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
018","16","",".",".",".",".",".",".",".",".",".","93.8",".",".",".",".","6.3","."
"198
019","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1","."
"198
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
022","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
023","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1","."
"198
031","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
032","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
038","4","***","","","","","","","","","",".",".",".",".",".",".","."
"198
039","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
045","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
081","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
084","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
085","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","151","",".",".",".",".",".",".",".",".",".","98.0",".",".",".",".","2.0","."
"201
001
W Culture:Sci,Tech,Philos I","53","3.324","34.0","28.3","18.9","7.5","3.8","1.9","1.9","1.9",".",".",".",".",".","1.9",".","."
"202
001
W Culture:Sci,Tech,Phil II","94","3.114","21.3","25.5","29.8","13.8","3.2",".","4.3","2.1",".",".",".",".",".",".",".","."
"204
001","156","3.403","32.7","35.9","21.2","5.8","1.9",".","1.9","0.6",".",".",".",".",".",".",".","."
"204
002","23","4.000","26.1",".",".",".",".",".",".","65.2","8.7",".",".",".",".",".",".","."
"Course Total
West Cult: Lit&The Arts II","179","3.425","31.8","31.3","18.4","5.0","1.7",".","1.7","8.9","1.1",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","234","3.144","11.5","34.2","36.8","11.5","3.8","0.4","1.3",".",".",".",".",".",".",".","0.4","."
"234
001
Genres-Westrn Relig Writing","41","3.780","65.9","24.4","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"254
002
Literature and Science","67","3.328","19.4","37.3","32.8","10.4",".",".",".",".",".",".",".",".",".",".",".","."
"275
001
Special Topics in ILS","25","3.696","52.0","32.0",".","8.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","36","3.681","55.6","33.3","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","3","***","","","","","","","","","","","","","","","",""
