"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","386","3.357","21.5","37.6","33.7","4.9","1.3","0.5",".",".",".",".",".",".","0.5",".",".","."
"Mass Communication Practices","202","001","100","3.270","17.0","33.0","40.0","9.0",".","1.0",".",".",".",".",".",".",".",".",".","."
"","335","001","12","2.958","8.3","16.7","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","335","002","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","335","003","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","40","3.375","32.5","27.5","27.5","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","345","001","48","3.698","47.9","43.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","9","3.222","11.1","55.6","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","16","3.563","56.3","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics&Community","411","001","15","3.367","33.3","20.0","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445","001","30","3.717","50.0","43.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","002","24","3.708","62.5","20.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475","100","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","77","3.293","27.3","27.3","28.6","11.7",".","1.3","1.3","2.6",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565","001","111","3.227","14.4","41.4","27.9","9.0","5.4",".","0.9",".",".",".",".",".",".",".","0.9","."
"Communicatn&Public Opinion","614","001","46","3.239","34.8","19.6","19.6","15.2","8.7","2.2",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","10","3.250","20.0","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621","001","48","3.228","18.8","29.2","27.1","18.8","2.1",".",".","4.2",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646","001","107","3.379","23.4","48.6","17.8","4.7","4.7",".","0.9",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","57","3.277","17.5","28.1","45.6","5.3","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675","001","23","3.273","13.0","47.8","17.4","13.0","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"","676","036","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","114","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","","Course Total","26","3.596","42.3","34.6","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","697","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","094","3","***","","","","","","","","","",".",".",".",".",".",".","."
