"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","164","2.985","13.4","17.1","40.2","15.2","10.4","1.8","0.6",".",".",".",".",".","0.6","0.6",".","."
"","002
300","206","3.194","25.2","18.9","33.0","15.5","5.3","0.5","0.5","1.0",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","370","3.101","20.0","18.1","36.2","15.4","7.6","1.1","0.5","0.5",".",".",".",".","0.3","0.3",".","."
"","305
001","42","3.107","16.7","19.0","42.9","11.9","9.5",".",".",".",".",".",".",".",".",".",".","."
"","002
305","48","3.052","22.9","16.7","27.1","18.8","12.5","2.1",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","90","3.078","20.0","17.8","34.4","15.6","11.1","1.1",".",".",".",".",".",".",".",".",".","."
"","320
001","50","2.908","16.0","18.0","28.0","8.0","26.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"","320
002","38","2.908","10.5","23.7","28.9","15.8","18.4","2.6",".",".",".",".",".",".",".",".",".","."
"","320
003","27","3.192","18.5","22.2","33.3","22.2",".",".",".","3.7",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","115","2.973","14.8","20.9","29.6","13.9","17.4","1.7",".","1.7",".",".",".",".",".",".",".","."
"","001
325","15","3.300","33.3","13.3","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","325
002","30","3.350","40.0","20.0","23.3","3.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","003
325","33","3.045","21.2","3.0","51.5","12.1","12.1",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","78","3.212","30.8","11.5","38.5","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"","399
071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
145","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","41","3.264","31.7","12.2","31.7",".","9.8","2.4",".","12.2",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fixd Income&Derivatv Securties","630
001","38","3.426","36.8","21.1","26.3","2.6",".",".","2.6","10.5",".",".",".",".",".",".",".","."
"Security Analysis","635
001","15","3.583","33.3","26.7","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","700
001","41","3.390","24.4","39.0","29.3","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","002
700","35","3.486","22.9","51.4","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","36","3.514","27.8","50.0","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","38","3.592","47.4","23.7","28.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","150","3.493","30.7","40.7","26.0","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","24","3.667","37.5","58.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
150","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
141","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
