"Computer-Based Data Mgt","722
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","765
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","765
003","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","","9","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"INFO SYS
234","Dept. Total","","89","3.835","73.0","19.1","6.7",".","",".","",".","",".","1.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","3.667","33.3","66.7",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.750","66.7","16.7","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","54","3.830","70.4","22.2","5.6",".","",".","",".","",".","1.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","69","3.809","68.1","23.2","7.2",".","",".","",".","",".","1.4","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","19","3.921","89.5","5.3","5.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","89","3.835","73.0","19.1","6.7",".","",".","",".","",".","1.1","",".",".","",".","",".","",".",".",".","."
