"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"English in Society","336","001","30","3.466","16.7","60.0","16.7","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"","337","001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","337","003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","46","",".",".",".",".",".",".",".",".",".","97.8","2.2",".",".",".",".","."
"Gender and Language","341","001","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Intro to Children's Literature","354","001","174","3.472","42.0","25.9","16.1","5.2","1.7","2.3","0.6","6.3",".",".",".",".",".",".",".","."
"Beowulf","359","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","21","3.275","9.5","42.9","33.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","23","3.174","30.4","30.4","17.4","13.0",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","27","3.389","22.2","48.1","18.5","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng Drama Pre Shakespeare","411","001","32","3.750","75.0","9.4","6.3",".",".",".","3.1",".",".",".",".",".","3.1","3.1",".","."
"Shakespeare","417","001","25","3.140","24.0","24.0","12.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","418","001","30","3.155","23.3","23.3","33.3","6.7","6.7",".","3.3","3.3",".",".",".",".",".",".",".","."
"Milton","434","001","27","3.537","40.7","33.3","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","34","3.471","26.5","44.1","26.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","36","3.271","22.2","41.7","16.7","11.1","2.8",".","2.8","2.8",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465","001","21","2.905","19.0","14.3","42.9","4.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","32","3.188","25.0","28.1","34.4","3.1","3.1","3.1","3.1",".",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","25","3.022","16.0","24.0","32.0","4.0","12.0",".","4.0","4.0",".",".",".",".","4.0",".",".","."
"Modern Irish Drama","478","001","30","3.500","40.0","33.3","13.3","3.3","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","11","3.545","72.7","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"James Joyce","503","001","25","3.240","12.0","56.0","12.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","24","2.917","8.3","25.0","37.5","16.7","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Recent Poetry in English","512","009","25","3.540","44.0","28.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","516","008","34","3.848","70.6","23.5","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Englishness and Jewishness","519","001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","24","3.304","33.3","25.0","20.8","8.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","25","3.240","36.0","24.0","16.0","16.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Dramatic Lit","561","001","60","2.717","10.0","15.0","43.3","15.0","5.0","1.7","10.0",".",".",".",".",".",".",".",".","."
"Women's Traditions in Novel","570","001","32","3.500","37.5","25.0","31.3","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593","001","21","3.310","19.0","47.6","23.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","34","3.412","17.6","50.0","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Three American Novelists","619","001","24","3.250","45.8","20.8","16.7","4.2","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"Theme in 20th C Amer Lit","630","001","24","3.104","29.2","12.5","37.5","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633","001","30","3.283","30.0","16.7","46.7",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Modernity in Native Amer Lit","649","001","9","3.444","55.6",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","681","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 205 of 407",""
