"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","130
004","18","3.056","16.7","16.7","38.9","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","87","3.390","46.0","12.6","24.1","6.9","8.0","1.1",".",".",".",".",".",".","1.1",".",".","."
"","131
001","25","3.240","4.0","52.0","36.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","131
002","26","3.135","15.4","19.2","53.8","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"","131
003","23","3.304","39.1","13.0","34.8","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","131
004","27","3.481","33.3","29.6","37.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","101","3.292","22.8","28.7","40.6","4.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","132
001","23","3.870","87.0",".","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
002","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
003","24","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","92","3.897","87.0","5.4","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","129","2.845","8.5","24.8","27.1","23.3","10.1","3.9","2.3",".",".",".",".",".",".",".",".","."
"","210
001","121","2.938","31.4","3.3","37.2","2.5","14.9","9.1","1.7",".",".",".",".",".",".",".",".","."
"","210
002","128","2.783","22.7","12.5","10.2","22.7","26.6","1.6","3.1","0.8",".",".",".",".",".",".",".","."
"","210
003","163","3.043","35.6","11.7","24.5","8.0","10.4","6.7","3.1",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","412","2.932","30.3","9.5","23.8","10.9","16.7","5.8","2.7","0.2",".",".",".",".",".",".",".","."
"","211
001","116","2.961","23.3","19.8","25.9","6.9","15.5","7.8","0.9",".",".",".",".",".",".",".",".","."
"","211
002","179","2.551","17.9","5.0","27.4","10.6","21.8","12.3","4.5",".",".",".",".",".","0.6",".",".","."
"Calculus","Course Total","295","2.713","20.0","10.8","26.8","9.2","19.3","10.5","3.1",".",".",".",".",".","0.3",".",".","."
"Calc/Intro-Differntl Equats","213
001","77","3.006","26.0","14.3","36.4","7.8","6.5","5.2","3.9",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","217
001","196","2.398","14.3","6.6","17.9","10.7","33.7","11.7","5.1",".",".",".",".",".",".",".",".","."
"","221
001","261","2.704","16.1","11.1","34.1","3.4","24.5","6.1","4.2","0.4",".",".",".",".",".",".",".","."
"","221
002","205","2.621","18.0","18.5","16.6","16.6","11.2","8.8","9.3","0.5",".",".",".",".",".","0.5",".","."
"Calculus&Analytic Geometry","Course Total","466","2.667","17.0","14.4","26.4","9.2","18.7","7.3","6.4","0.4",".",".",".",".",".","0.2",".","."
"","222
001","158","2.386","19.0","5.7","24.1","7.0","22.2","8.9","13.3",".",".",".",".",".",".",".",".","."
"","222
002","186","2.605","18.8","10.8","18.3","15.6","23.1","7.5","5.9",".",".",".",".",".",".",".",".","."
"","222
003","104","2.442","20.2","3.8","19.2","9.6","30.8","6.7","9.6",".",".",".",".",".",".",".",".","."
"","004
222","143","2.599","21.7","9.1","20.3","7.7","25.2","9.1","6.3",".",".",".",".",".","0.7",".",".","."
"Calculus&Analytic Geometry","Course Total","591","2.516","19.8","7.8","20.5","10.3","24.7","8.1","8.6",".",".",".",".",".","0.2",".",".","."
"","234
001","130","2.717","25.4","6.2","23.1","6.9","24.6","10.8","2.3",".",".",".",".",".",".",".","0.8","."
"","002
234","201","2.545","24.4","2.5","28.9","5.0","19.9","9.5","10.0",".",".",".",".",".",".",".",".","."
"","234
003","111","2.869","24.3","15.3","12.6","18.0","26.1","0.9","2.7",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","442","2.677","24.7","6.8","23.1","8.8","22.9","7.7","5.9",".",".",".",".",".",".",".","0.2","."
"Intro to Discrete Mathematics","001
240","52","2.394","17.3","7.7","26.9","5.8","17.3","13.5","11.5",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","47","",".",".",".",".",".",".",".",".",".","97.9","2.1",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","319
001","80","2.569","10.0","17.5","23.8","16.3","15.0","13.8","3.8",".",".",".",".",".",".",".",".","."
"","002
319","108","2.650","11.1","14.8","21.3","21.3","22.2","4.6","3.7","0.9",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","188","2.615","10.6","16.0","22.3","19.1","19.1","8.5","3.7","0.5",".",".",".",".",".",".",".","."
"","001
320","115","3.018","21.7","22.6","27.8","8.7","11.3","5.2","1.7",".","0.9",".",".",".",".",".",".","."
